Rank,Title,Episodes,Producers,Genres,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors
1626,07-Ghost,25,"['Studio Deen', 'Discotek']","['Action', 'Demons', 'Fantasy', 'Magic', 'Military', 'Shoujo']",TV,2009,2009,PG-13,7.46,"['Suwabe Junichi', 'Inoue Marina', 'Saiga Mitsuki', 'Hayami Show', 'Miyata Kouki']"
4737,3-gatsu no Lion meets Bump of Chicken,1,"['None found', 'add some']","['Drama', 'Music', 'Seinen']",Music,2014,2014,G,6.56,"[]"
3122,3x3 Eyes,4,"['Toei Animation', 'Bandai Visual', 'Kodansha']","['Action', 'Demons', 'Fantasy', 'Horror', 'Romance']",OVA,1991,1992,R,7.02,"['Tsujitani Kouji', 'Hayashibara Megumi', 'Hayashibara Megumi', 'Ootsuka Akio']"
2653,3x3 Eyes Seima Densetsu (3x3 Eyes: Legend of the Divine Demon),3,"['Bandai Visual', 'Kodansha', 'Studio Junio']","['Action', 'Adventure', 'Demons', 'Fantasy', 'Horror', 'Romance']",OVA,1995,1996,R,7.16,"['Hayashibara Megumi', 'Hayashibara Megumi', 'Ootsuka Akio']"
1834,11-nin Iru! (They Were Eleven),1,"['Kitty Films', 'Central Park Media']","['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Shoujo', 'Space']",Movie,1986,1986,PG-13,7.40,"['Kawai Michiko', 'Kamiya Akira', 'Furukawa Toshio', 'Tarako Isono']"
4612,11eyes (11 Eyes),12,"['Marvelous Entertainment', 'Doga Kobo', 'Pony Canyon', 'Sentai Filmworks', 'feng']","['Action', 'Ecchi', 'Super Power', 'Supernatural']",TV,2009,2009,R,6.60,"['Asakawa Yuu', 'Ichimura Oma', 'Ono Daisuke', 'Kanada Aki', 'Gotou Mai']"
5013,12-sai. (Age 12),8,"['SynergySP', 'Half H.P Studio']","['Romance', 'School', 'Shoujo']",OVA,2014,2015,PG-13,6.47,"['Iguchi Yuuichi', 'Haruno Nanami', 'Saito Soma', 'Kakuma Ai']"
3616,30-sai no Hoken Taiiku,12,"['Gathering']","['Ecchi', 'Parody', 'Romance', 'Seinen']",TV,2011,2011,R,6.87,"['Nazuka Kaori', 'Shimono Hiro', 'Watanabe Yui', 'Okiayu Ryotaro']"
2363,30th Gundam Perfect Mission,1,"['Sunrise']","['Mecha', 'Sci-Fi']",OVA,2009,2009,G,7.24,"[]"
2333,A-Channel+smile,2,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting', 'Studio Gokumi']","['Comedy', 'School', 'Seinen', 'Slice of Life']",OVA,2012,2012,PG-13,7.25,"['Yuuki Aoi', 'Kotobuki Minako', 'Fukuhara Kaori', 'Uchiyama Yumi']"
2852,A-Channel,12,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting', 'Sentai Filmworks', 'Studio Gokumi']","['Comedy', 'School', 'Seinen', 'Slice of Life']",TV,2011,2011,PG-13,7.10,"['Yuuki Aoi', 'Kotobuki Minako', 'Fukuhara Kaori', 'Uchiyama Yumi']"
4779,A-Ko The Versus (Project A-ko: Uncivil Wars),2,"['None found', 'add some']","['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi', 'Shounen', 'Super Power']",OVA,1990,1990,PG-13,6.55,"['Itou Miki', 'Shinohara Emi', 'Tomizawa Michie', 'Takayama Minami', 'Hayami Show']"
