Name	Net Worth(Billions$)	Source of Wealth
Bill Gates	 75 	Microsoft
Amancio Ortega	 67 	Zara
Warren Buffett	 60.8 	Berkshire Hathaway
Carlos Slim Helu	 50 	telecom
Jeff Bezos	 45.2 	Amazon.com
Mark Zuckerberg	 44.6 	Facebook
Larry Ellison	 43.6 	Oracle
Michael Bloomberg	 40 	Bloomberg LP
Charles Koch	 39.6 	diversified
David Koch	 39.6 	diversified
Liliane Bettencourt	 36.1 	L'Oreal
Larry Page	 35.2 	Google
Sergey Brin	 34.4 	Google
Bernard Arnault	 34 	LVMH
Jim Walton	 33.6 	Wal-Mart
Alice Walton	 32.3 	Wal-Mart
Robson Walton	 31.9 	Wal-Mart
Jianlin Wang	 28.7 	real estate
Jorge Paulo Lemann	 27.8 	beer
Ka-shing Li	 27.1 	diversified
Beate Heister &amp; Karl Albrecht Jr.	 25.9 	supermarkets
Sheldon Adelson	 25.2 	casinos
George Soros	 24.9 	hedge funds
Phil Knight	 24.4 	Nike
David Thomson	 23.8 	media
Steve Ballmer	 23.5 	Microsoft
Forrest Mars	 23.4 	candy
Jacqueline Mars	 23.4 	candy
John Mars	 23.4 	candy
Maria Franca Fissolo	 22.1 	Nutella, Chocolates
Shau Kee Lee	 21.5 	real estate
Stefan Persson	 20.8 	H&amp;M
Jack Ma	 20.5 	Alibaba
Theo Albrecht	 20.3 	Aldi, Trader Joe's
Michael Dell	 19.8 	Dell
Mukesh Ambani	 19.3 	petrochemicals, oil &amp; gas
Leonardo Del Vecchio	 18.7 	eyeglasses
Susanne Klatten	 18.5 	BMW, pharmaceuticals
Georg Schaeffler	 18.1 	ball bearings
Paul Allen	 17.5 	Microsoft, investments
Prince Alwaleed Bin Talal Alsaud	 17.3 	investments
Joseph Safra	 17.2 	banking
Carl Icahn	 17 	investments
Laurene Powell Jobs	 16.7 	Apple, Disney
Dilip Shanghvi	 16.7 	pharmaceuticals
Huateng Ma	 16.6 	internet portal
Dieter Schwarz	 16.4 	retail
Ray Dalio	 15.6 	hedge funds
Stefan Quandt	 15.6 	BMW
James Simons	 15.5 	hedge funds
Aliko Dangote	 15.4 	cement, sugar, flour
Michael Otto	 15.4 	retail, real estate
Len Blavatnik	 15.3 	diversified
Donald Bren	 15.1 	real estate
Azim Premji	 15 	software services
Serge Dassault	 14.7 	aviation
Tadashi Yanai	 14.6 	retail
Yu-tung Cheng	 14.5 	diversified
Hinduja	 14.5 	Hinduja Group
Leonid Mikhelson	 14.4 	gas, chemicals
David &amp; Simon Reuben	 14.4 	investments, real estate
Stefano Pessina	 13.4 	drugstores
Mikhail Fridman	 13.3 	oil, banking, telecom
Dietrich Mateschitz	 13.2 	Red Bull
Abigail Johnson	 13.1 	money management
Kjeld Kirk Kristiansen	 13.1 	Lego
Joseph Lau	 13.1 	real estate
