ID,Rank,Title,Episodes,Producers,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors,,
1,2,Steins;Gate,24,"['Frontier Works', 'FUNimation Entertainment', 'Media Factory', 'Movic', 'AT-X', 'White Fox', 'Kadokawa Pictures Japan', 'Nitroplus']",TV,2011,2011,PG-13,9.18,"['Miyano Mamoru', 'Imai Asami', 'Hanazawa Kana', 'Seki Tomokazu']",,
2,5,Hunter x Hunter (2011),148,"['Madhouse', 'VAP', 'Viz Media', 'Nippon Television Network Corporation']",TV,2011,2014,R,9.15,"['Ise Mariya', 'Han Megumi', 'Sawashiro Miyuki', 'Fujiwara Keiji']",,
3,9,Ginga Eiyuu Densetsu,110,"['Artland', 'Kitty Films', 'Sentai Filmworks']",OVA,1988,1997,R,9.1,"['Tomiyama Kei', 'Horikawa Ryo', 'Narahashi Miki', 'Wakamoto Norio', 'Shiozawa Kaneto']",,
4,10,Gintama,201,"['Sunrise', 'TV Tokyo', 'Aniplex', 'Dentsu', 'Sentai Filmworks', 'Trinity Sound', 'Audio Highs', 'Miracle Robo']",TV,2006,2010,PG-13,9.06,"['Sugita Tomokazu', 'Yaguchi Asami', 'Kugimiya Rie', 'Sakaguchi Daisuke', 'Nakai Kazuya']",,
5,12,Sen to Chihiro no Kamikakushi (Spirited Away),1,"['Studio Ghibli', 'Studio Hibari', 'Walt Disney Studios', 'GKids']",Movie,2001,2001,G,8.93,"['Irino Miyu', 'Hiiragi Rumi', 'Gashuin Tatsuya']",,
6,13,Shigatsu wa Kimi no Uso (Your Lie in April),22,"['Aniplex', 'Dentsu', 'A-1 Pictures', 'Kodansha', 'Fuji TV', 'Aniplex of America']",TV,2014,2015,PG-13,8.93,"['Taneda Risa', 'Hanae Natsuki', 'Sakura Ayane', 'Osaka Ryota']",,
7,14,Mushishi Zoku Shou 2nd Season,10,"['Artland', 'Aniplex', 'Aniplex of America']",TV,2014,2014,PG-13,8.92,"['Sawashiro Miyuki', 'Nakano Yuto', 'Doi Mika', 'Furukawa Toshio', 'Matsuura Ayu']",,
8,15,Haikyuu!! Second Season,25,"['Production I.G', 'Sentai Filmworks']",TV,2015 to ?,2015 to ?,PG-13,8.87,"['Ishikawa Kaito', 'Murase Ayumu', 'Okamoto Nobuhiko', 'Namikawa Daisuke']",,
9,16,Ookami Kodomo no Ame to Yuki (Wolf Children),1,"['Madhouse', 'VAP', 'Dentsu', 'Yomiuri Telecasting Corporation', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Toho Company', 'Studio Chizu']",Movie,2012,2012,PG,8.87,"['Miyazaki Aoi', 'Nishii Yukito', 'Kabe Amon', 'Kuroki Haru', 'Oono Momoka', 'Osawa Takao']",,
10,18,Suzumiya Haruhi no Shoushitsu,1,"['Kyoto Animation', 'Kadokawa Shoten', 'Bandai Entertainment', 'Animation Do']",Movie,2010,2010,PG-13,8.87,"['Sugita Tomokazu', 'Chihara Minori', 'Hirano Aya', 'Gotou Yuuko']",,
11,20,Hajime no Ippo (Fighting Spirit),75,"['Madhouse', 'VAP', 'Geneon Universal Entertainment']",TV,2000,2002,PG-13,8.86,"['Kiyasu Kohei', 'Koyama Rikiya', 'Takagi Wataru', 'Fujiwara Keiji']",,
12,21,Cowboy Bebop,26,"['Sunrise', 'Bandai Visual', 'FUNimation Entertainment', 'Bandai Entertainment']",TV,1998,1999,R,8.83,"['Yamadera Kouichi', 'Tada Aoi', 'Hayashibara Megumi', 'Ishizuka Unshou']",,
13,23,Mononoke Hime (Princess Mononoke),1,"['Studio Ghibli', 'Tokuma Shoten', 'GKids', 'Nippon Television Network Corporation']",Movie,1997,1997,PG-13,8.81,"['Ishida Yuriko', 'Matsuda Youji', 'Miwa Akihiro']",,
