"ID","Title","Episodes","ProductionHouse","Genres","Type","Year","Rating"
"1","Hagane no Renkinjutsushi (2009)","64","Bones","Action","Adventure","","4.7"
"2","Fullmetal Alchemist: Brotherhood","64","Bones","Action","Adventure","","4.7"
"3","Gintama The Movie: The Final Chapter: Be Forever Yorozuya","1","Sunrise","Action","Aliens","","4.7"
"4","Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare","1","Sunrise","Action","Aliens","","4.7"
"5","Gintama (2015)","27","BN Pictures","Action","Aliens","","4.7"
"6","Gintama°","27","BN Pictures","Action","Aliens","","4.7"
"7","Steins;Gate","24","WHITE FOX","Based on a Visual Novel","LGBT Themes","","4.7"
"8","Code Geass: Lelouch of the Rebellion R2","25","Sunrise","Mecha","Original Work","","4.6"
"9","Clannad After Story","24","Kyoto Animation","Based on a Visual Novel","Comedy","","4.6"
"10","Mushishi Zoku Shou 2","10","Artland","Based on a Manga","Episodic","","4.6"
"11","Hunter x Hunter (2011)","148","MADHOUSE","Action","Adventure","","4.6"
"12","Mushishi Zoku Shou: Suzu no Shizuku","1","Artland","Fantasy","Seinen","","4.6"
"13","Gintama (2012)","13","Sunrise","Action","Aliens","","4.6"
"14","Ookami Kodomo no Ame to Yuki","1","Studio Chizu","Childcare","Coming of Age","","4.6"
"15","Wolf Children","1","Studio Chizu","Childcare","Coming of Age","","4.6"
"16","Gintama'","51","Sunrise","Action","Aliens","","4.6"
"17","Suzumiya Haruhi no Shoushitsu","1","Kyoto Animation","Drama","Psychological","","4.6"
"18","The Disappearance of Haruhi Suzumiya","1","Kyoto Animation","Drama","Psychological","","4.6"
"19","Mushishi Zoku Shou","10","Artland","Episodic","Fantasy","","4.6"
"20","Mushi-shi -Next Passage-","10","Artland","Episodic","Fantasy","","4.6"
"21","Kuroko's Basketball 3","25","Production I.G","Based on a Manga","Basketball","","4.6"
"22","Hajime no Ippo: New Challenger","26","MADHOUSE","Action","Based on a Manga","","4.6"
"23","Code Geass: Lelouch of the Rebellion","25","Sunrise","Mecha","Original Work","","4.6"
"24","Haikyuu!! Second Season","2","Production I.G","Based on a Manga","School Club","","4.6"
"25","Kara no Kyoukai Movie 5: Mujun Rasen","1","ufotable","Based on a Light Novel","Mystery","","4.6"
"26","Shigatsu wa Kimi no Uso","22","A-1 Pictures","Based on a Manga","Classical Music","","4.6"
"27","Your lie in April","22","A-1 Pictures","Based on a Manga","Classical Music","","4.6"
"28","Fate/Zero 2","12","ufotable","Action","Based on a Light Novel","","4.6"
"29","Kuroko's Basketball 2","25","Production I.G","Based on a Manga","Basketball","","4.6"
"30","Natsume Yuujinchou Shi","13","Brains-Base","Based on a Manga","Drama","","4.6"
"31","Natsume's Book of Friends Season 4","13","Brains-Base","Based on a Manga","Drama","","4.6"
"32","Mushishi Special: Sun-Eating Shade","1","Artland","Fantasy","Seinen","","4.6"
"33","Mushishi Tokubetsu-hen: Hihamukage","1","Artland","Fantasy","Seinen","","4.6"
"34","Bunny Drop","11","Production I.G","Based on a Manga","Childcare","","4.6"
"35","Usagi Drop","11","Production I.G","Based on a Manga","Childcare","","4.6"
"36","Kiseijuu: Sei no Kakuritsu","24","MADHOUSE","Action","Aliens","","4.6"
"37","Parasyte -the maxim-","24","MADHOUSE","Action","Aliens","","4.6"
"38","Steins;Gate The Movie","1","WHITE FOX","Based on a Visual Novel","Drama","","4.6"
