"ID","Title","Episodes","ProductionHouse","Genres","Type","Year","Rating"
"1","Sen to Chihiro no Kamikakushi (Spirited Away)","1","Studio Ghibli","Adventure","Movie","2001-2001","G"
"2","Ookami Kodomo no Ame to Yuki (Wolf Children)","1","Madhouse","Fantasy","Movie","2012-2012","PG"
"3","Suzumiya Haruhi no Shoushitsu","1","Kyoto Animation","Comedy","Movie","2010-2010","PG-13"
"4","Mononoke Hime (Princess Mononoke)","1","Studio Ghibli","Action","Movie","1997-1997","PG-13"
"5","Howl no Ugoku Shiro (Howl&#039;s Moving Castle)","1","Studio Ghibli","Adventure","Movie","2004-2004","G"
"6","Hotarubi no Mori e","1","Aniplex","Drama","Movie","2011-2011","G"
"7","Hotaru no Haka (Grave of the Fireflies)","1","Studio Ghibli","Drama","Movie","1988-1988","PG-13"
"8","Toki wo Kakeru Shoujo (The Girl Who Leapt Through Time)","1","Madhouse","Adventure","Movie","2006-2006","PG-13"
"9","Tonari no Totoro (My Neighbor Totoro)","1","Studio Ghibli","Adventure","Movie","1988-1988","G"
"10","Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind)","1","Studio Ghibli","Adventure","Movie","1984-1984","PG-13"
"11","Kaguya-hime no Monogatari (The Tale of the Princess Kaguya)","1","Studio Ghibli","Fantasy","Movie","2013-2013","G"
"12","Omoide no Marnie (When Marnie Was There)","1","Studio Ghibli","Mystery","Movie","2014-2014","G"
"13","Love Live! The School Idol Movie","1","Sunrise","Music","Movie","2015-2015","PG-13"
"14","Tenkuu no Shiro Laputa (Castle in the Sky)","1","Studio Ghibli","Adventure","Movie","1986-1986","PG"
"15","K-On! Movie (K-ON! The Movie)","1","Kyoto Animation","Comedy","Movie","2011-2011","PG-13"
"16","Summer Wars","1","Madhouse","Comedy","Movie","2009-2009","PG-13"
"17","Kotonoha no Niwa (The Garden of Words)","1","CoMix Wave Films","Drama","Movie","2013-2013","PG-13"
"18","Eve no Jikan (Movie) (Time of Eve)","1","Studio Rikka","Sci-Fi","Movie","2010-2010","PG-13"
"19","Redline","1","Madhouse","Action","Movie","2009-2009","R+"
"20","Sennen Joyuu (Millennium Actress)","1","Madhouse","Action","Movie","2001-2001","PG-13"
"21","Ghost in the Shell","1","Production I.G","Mecha","Movie","1995-1995","R+"
"22","Mimi wo Sumaseba (Whisper of the Heart)","1","Studio Ghibli","Adventure","Movie","1995-1995","G"
"23","Tokyo Godfathers","1","Madhouse","Comedy","Movie","2003-2003","PG-13"
"24","Tsumiki no Ie (La Maison en Petits Cubes)","1","Oh! Production","Drama","Movie","2008-2008","G"
"25","Kaze Tachinu (The Wind Rises)","1","Studio Ghibli","Drama","Movie","2013-2013","PG-13"
