_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged
1,2429,1,Tongari Boushi no Memole,FantasyMagicShoujo,50,1984-1985,TV,ToeiAnimation,Hagane no Renkinjutsushi (2009),ActionAdventureAnimalAbuseBasedonaMangaDramaFantasyMilitaryMysteryViolence,64,2009 - 2010,TV,Bones
285,1055,55,Grisaia no Rakuen Specials,ComedyEcchi,5,2015-2015,Special,Nonefoundaddsome,The Eden of Grisaia,BasedonaVisualNovelComedyDramaMilitarySexualContent,10,2015,TV,8-Bit
324,34,62,Ghost in the Shell 2.0,ActionMechaPolicePsychologicalSci-Fi,1,2008-2008,Movie,ProductionI.G,Ghost in the Shell: Stand Alone Complex - Individual Eleven,CyberpunkCyborgsFuturisticHackingSciFi,1,2006,Movie,ProductionI.G
390,1081,67,Tales of the Abyss Special Fan Disc,ComedySliceofLife,2,2009-2009,Special,Sunrise,Hajime no Ippo: The Fighting! Special,BoxingHandtoHandCombat,1,2003,DVD Special,MADHOUSE
561,1043,77,Mokke Specials (Mokke Special Episodes),MysterySliceofLifeSupernatural,2,2008-2008,Special,MadhouseKodansha,Monthly Girls' Nozaki-kun Specials,BasedonaMangaComedySchoolLife,6,2014 - 2015,DVD Special,Dogakobo
569,1171,77,Arslan Senki (TV) Specials,Comedy,Unknown,2015 -2015 ,Special,SANZIGENLIDENFILMS,Monthly Girls' Nozaki-kun Specials,BasedonaMangaComedySchoolLife,6,2014 - 2015,DVD Special,Dogakobo
708,2330,81,Cobra The Animation,ActionAdventureSci-FiSpace,13,2010-2010,TV,MagicBus,Broken Blade: The Path of Separation,ActionFantasyMagicMechaMilitaryWar,1,2010,Movie,ProductionI.G
899,887,101,Megami Kouhosei Special Curriculum,ActionMechaMilitarySci-FiSpace,1,2002-2002,OVA,BandaiVisual,Mayoi Neko Overrun! Specials,,6,2010,DVD Special,AIC
1119,3035,125,Fushigi Mahou Fun Fun Pharmacy,KidsMagic,48,1998-1999,TV,ToeiAnimation,Fushigi na Koala Blinky,AnimalProtagonistsFamilyFriendlyOriginalWork,26,1984,TV,NipponAnimation
1362,2811,144,Medarot Damashii (Medabots Spirits),ActionAdventureSci-Fi,39,2000-2001,TV,ProductionI.GADVFilmsNASNelvana,Medabots,ActionRobotsShounenTournaments,52,1999 - 2000,TV,BEETRAIN
1382,2419,151,Captain Future,ActionAdventureSci-FiShounen,52,1978-1979,TV,ToeiAnimation,Captain Future: Kareinaru Taiyokei Race,AdventureOuterSpaceSciFi,1,1978,Movie,ToeiAnimation
1458,2706,167,Mobile Suit Gundam ZZ,ComedyDramaMechaMilitarySci-FiShounenSpace,47,1986-1987,TV,Sunrise,Mobile Suit Gundam AGE: Memory of Eden,,1,2013,OVA,Sunrise
