_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged,gold
26222,871,5534,Mahou Tsukai Tai! vs. Shamanic Princess,ComedyFantasyMagic,1,1998-1998,OVA,BandaiVisualNYAVPost,6HP - Six Hearts Princess,,TV ,2016,TV,Poncotan,0
9001,2610,1619,Kinnikuman II Sei (Ultimate Muscle),ActionComedyMartialArtsSci-FiShounenSports,51,2002-2002,TV,TVTokyoToeiAnimation4KidsEntertainmentYomiuriAdvertising,Kinnikuman: Kessen!! Shichinin no Choujin Tai Uchuu Nobushi,,1,1984,TV Special,ToeiAnimation,0
47085,3019,955,Sister Princess,ComedyDramaHaremRomanceSliceofLife,26,2001-2001,TV,StarchildRecordsADVFilmsZexcsTVTokyoMusicGANSIS,Sister Princess,ComedyDramaHaremSliceofLife,26,2001,TV,Zexcs,1
22403,421,4601,Ninja Slayer From Animation,Action,26,2015-2015,ONA,StarchildRecordsFUNimationEntertainmentTriggerGrooove,Collection of Key Animation Films,JapanAnimatorsExhibitionMechaSciFiShorts,1,2014,Web,StudioKhara,0
39690,413,988,Upotte!!,ActionComedySeinen,10,2012-2012,ONA,XebecDAXProductionNipponColumbiaSentaiFilmworks,Upotte!!,ActionBasedonaMangaComedyEcchiGunfightsSchoolLife,10,2012,Web,XEBEC,1
44834,3103,2042,SoulTaker,DemonsHorrorShounenSupernatural,13,2001-2001,TV,WOWOWTatsunokoProductionsPioneerLDCToshibaEntertainment,SoulTaker,AbstractHorrorMonstersPsychologicalSupernaturalSuperpowers,13,2001,TV,TatsunokoPro.,1
28070,13,6008,Love Live! The School Idol Movie,MusicSchoolSliceofLife,1,2015-2015,Movie,SunriseLantis,Gakuen Mokushiroku: High School of the Dead,ActionBasedonaMangaEcchiExplicitViolenceHorrorPandemicPantyShotsPhysicalAbuseSurvivalZombies,12,2010,TV,MADHOUSE,0
53807,2740,1484,Nurse Angel Ririka SOS,DramaFantasyMagicShoujo,35,1995-1996,TV,NASTVTokyoMusic,Nurse Angel Ririka SOS,MagicalGirl,35,1995 - 1996,TV,,1
5562,2330,886,Cobra The Animation,ActionAdventureSci-FiSpace,13,2010-2010,TV,MagicBus,Kyoto Animation: Ikitaku Naru Omise-hen,Promotional,1,2012,Other,KyotoAnimation,0
20535,1178,3989,Teekyuu 4 Specials,ComedySchoolShounenSports,2,2015-2015,Special,DAXProductionEarthStarEntertainmentMillepensee,Smash Hit Specials,,4,,DVD Special,StudioLive,0
662,113,109,Ginga Tetsudou no Yoru (Night on the Galactic Railroad),DramaFantasyHistoricalKidsMystery,1,1985-1985,Movie,GroupTACCentralParkMediaDiscotek,Senkou no Night Raid: Demon of the Opium Den,,1,2010,DVD Special,A-1Pictures,0
3602,2487,645,Ginga Senpuu Braiger (Galactic Whirlwind Braiger),ActionAdventureMechaSpace,39,1981-1982,TV,ToeiAnimationKokusaiEigasha,Ginga Tetsudou 999: Kimi wa Senshi no You ni Ikirareruka!!,BasedonaMangaSciFiTrains,1,1979,TV Special,ToeiAnimation,0
7060,2802,1203,Bakuto Sengen Daigander (Daigunder),AdventureMechaSci-FiShounen,39,2002-2002,TV,TVTokyoNipponAnimationVictorEntertainment,Bakuto Sengen Daigander,ActionMechaSciFiShounenTournaments,39,2002,TV,Brains-Base,1
27085,1162,5749,Kurogane no Linebarrels Specials (Linebarrels of Iron),ActionComedyEcchiMecha,2,2009-2009,Special,GonzoFUNimationEntertainment,The Prince of Tennis Flash Specials,FlashAnimation,5,2014 - 2015,DVD Special,ProductionI.G,0
