_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged,gold
52874,2706,8914,Mobile Suit Gundam ZZ,ComedyDramaMechaMilitarySci-FiShounenSpace,47,1986-1987,TV,Sunrise,Mobile Suit Gundam ZZ,FuturisticMechaOuterSpaceSciFi,47,1986 - 1987,TV,Sunrise,1
31956,1170,6674,Sky Girls Specials,ComedyMechaMilitarySci-Fi,9,2007-2008,Special,J.C.Staff,Kuroshitsuji 2 Specials,,6,2010 - 2011,DVD Special,A-1Pictures,0
14212,2336,2552,Kachou Ouji (Legend of Black Heaven),AdventureComedyMusicSci-FiSliceofLife,13,1999-1999,TV,AICPioneerLDC,Haou Daikei Ryuu Knight: Adeu Legend,ActionFantasyMecha,13,1994 - 1995,OVA,Sunrise,0
8318,68,1487,Ginga Tetsudou 999 (Movie),AdventureDramaFantasySci-FiSpace,1,1979-1979,Movie,ToeiAnimationDiscotek,Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseruka!!,BasedonaMangaSciFiTrains,1,1980,Other,,0
13007,1021,2302,Pokemon Diamond &amp; Pearl Specials,ActionComedyFantasyKids,2,2011-2011,Special,OrientalLightandMagic,Souten no Ken Specials,,4,2007,DVD Special,,0
42016,455,577,Master Keaton OVA,AdventureMystery,15,1999-2000,OVA,MadhouseGeneonUniversalEntertainment,Master Keaton OVA,AdventureBasedonaMangaDetectivesEpisodicEuropeSeinenWorkLife,15,1999 - 2000,OVA,MADHOUSE,1
10118,868,1789,Burn Up! W,ComedyEcchiMechaSci-FiShounen,4,1996-1996,OVA,AIC,Burn Up Scramble,ActionEcchiPantyShotsPolice,12,2004,TV,AICSpirits,0
3091,2787,540,Choujikuu Seiki Orguss (The Super Dimension Century Orguss),ActionAdventureMechaSci-FiShounen,35,1983-1984,TV,ArtlandTokyoMovieShinshaVictorEntertainmentMainichiBroadcastingStudioNueBigWestDiscotek,Choujikuu Yousai Macross II: Lovers Again,AliensMechaMilitaryMusicOuterSpaceSciFiWar,6,1992,OVA,AIC,0
42051,458,1668,Seitokai Yakuindomo OVA,ComedySchoolShounenSliceofLife,8,2011-2013,OVA,StarchildRecordsGoHands,Seitokai Yakuindomo OVA,BasedonaMangaComedyCrudeParodySchoolLifeSexualContent,8,2011 - 2013,OVA,GoHands,1
10653,1961,1888,Groove Adventure Rave (Rave Master),AdventureComedyFantasyRomanceShounen,51,2001-2002,TV,StudioDeenTBSKodanshaTOKYOPOP,Doraemon: Nobita's Great Adventure into the Underworld,AdventureBasedonaMangaFamilyFriendlySciFi,1,1984,Movie,ShineiAnimation,0
35273,1754,7137,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Mystery,12,2015 -2015,TV,LantisDAXProductionTROYCA,Jinrui wa Suitai Shimashita Specials,,6,2012 - 2013,DVD Special,AICA.S.T.A.,0
34244,311,7000,Tondemo Nezumi Daikatsuyaku (The Legend of Manxmouse),Adventure,1,1979-1979,Movie,NipponAnimation,Fist of the North Star: Legend of Toki,,1,2008,OVA,APPP,0
63,1264,29,Kuroko no Basket 2nd Season (Kuroko&#039;s Basketball 2),ComedySchoolShounenSports,25,2013-2014,TV,ProductionI.GBandaiVisualLantisNASBanpresto,Kuroko's Basketball 2,BasedonaMangaBasketballSchoolClubShounenSportsTournaments,25,2013 - 2014,TV,ProductionI.G,1
4182,2680,723,Chirorin Mura Monogatari (Nutsberry Town),KidsSliceofLife,170,1992-1993,TV,NHKNHKEnterprises,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku Dake Dewanai no ja!",BasedonaLightNovelDemonsFantasyMedievalRecapRomance,1,2013,TV Special,ARMS,0
32197,1716,6705,New Prince of Tennis (The Prince of Tennis II),ActionComedyShounenSports,13,2012-2012,TV,ProductionI.GTVTokyoBandaiVisualNASM.S.CTVTokyoMusicMarvelousAQL,Chaika: The Coffin Princess - AVENGING BATTLE,AdventureBasedonaLightNovelFantasy,10,2014,TV,Bones,0
40262,428,5357,Ginga Eiyuu Densetsu,DramaMilitarySci-FiSpace,110,1988-1997,OVA,ArtlandKittyFilmsSentaiFilmworks,Ginga Eiyuu Densetsu,BasedonaNovelDramaMilitaryOuterSpacePoliticalSciFiSpaceOperaWar,110,1988 - 1997,OVA,KittyFilms,1
44834,3103,2042,SoulTaker,DemonsHorrorShounenSupernatural,13,2001-2001,TV,WOWOWTatsunokoProductionsPioneerLDCToshibaEntertainment,SoulTaker,AbstractHorrorMonstersPsychologicalSupernaturalSuperpowers,13,2001,TV,TatsunokoPro.,1
11411,2881,2054,Umi no Triton (Triton of the Sea),AdventureFantasyShounen,27,1972-1972,TV,Nonefoundaddsome,Triton of the Sea,AdventureFantasy,27,1972,TV,,1
5072,1123,829,Di Gi Charat Tsuyu Specials,Comedy,2,2001-2001,Special,Madhouse,Loveless Specials,,6,2005 - 2006,DVD Special,J.C.Staff,0
26837,291,5691,High School! Kimengumi (Movie),ActionComedyParodyRomanceSchoolShounen,1,1986-1986,Movie,StudioCometTsuchidaProductions,High School! Kimengumi Movie,Comedy,1,1986,Movie,Comedy,1
33984,1152,6970,Seirei Tsukai no Blade Dance Specials,ActionFantasySchoolSupernatural,6,2014-2015,Special,TNK,Tentai Senshi Sunred Specials,BasedonaMangaComedyMonstersParody,4,2009,DVD Special,AICA.S.T.A.,0
35603,1091,7173,Yama no Susume Second Season Specials,ComedySeinenSliceofLife,2,2014-2015,Special,8bitEarthStarEntertainment,Shijou Saikyou no Deshi Kenichi OVA Specials,ComedyMartialArtsShounen,3,2013 - 2014,DVD Special,Brains-Base,0
4563,438,769,Isekai no Seikishi Monogatari (Tenchi Muyo! War on Geminar),ActionComedyEcchiFantasyHaremMechaSchool,13,2009-2010,OVA,AICBeSTACKFUNimationEntertainment,Ai no Wakakusa Monogatari,AmericaBasedonaNovelDramaFamilyFriendlyWorldMasterpieceTheater,48,1987,TV,NipponAnimation,0
4803,1104,804,Mayoi Neko Overrun! Specials,ComedyEcchi,6,2010-2010,Special,AIC,The Eden of Grisaia Specials,BasedonaVisualNovelComedyEcchiNudity,2+,2015 - ?,DVD Special,8-Bit,0
7734,376,1354,Katekyo Hitman Reborn! Special,ComedyShounen,1,2010-2010,ONA,Artland,Giant Robo: Ginrei Special,ComedyFuturisticMechaParodySciFi,3,1994 - 1995,OVA,,0
47607,3024,2362,Walkure Romanze,ActionEcchiHaremRomanceSchoolSports,12,2013-2013,TV,LantisPonyCanyon8bit,Walkure Romanze,BasedonaVisualNovelEcchiSchoolLifeSports,12,2013,TV,8-Bit,1
48942,3052,632,Coppelion,ActionSci-FiSeinen,13,2013-2013,TV,StarchildRecordsVizMediaGoHands,Coppelion,ActionBasedonaMangaEnvironmentalMilitaryPost-apocalypticSciFiSeinen,13,2013,TV,GoHands,1
