ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
['1', 'Sen to Chihiro no Kamikakushi (Spirited Away)', '1', "['Studio Ghibli', 'Studio Hibari', 'Walt Disney Studios', 'GKids']", "['Adventure', 'Drama', 'Supernatural']", 'Movie', '2001-2001', 'G'],StudioGhibliStudioHibariWaltDisneyStudiosGKids,AdventureDramaSupernatural
['2', 'Ookami Kodomo no Ame to Yuki (Wolf Children)', '1', "['Madhouse', 'VAP', 'Dentsu', 'Yomiuri Telecasting Corporation', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Toho Company', 'Studio Chizu']", "['Fantasy', 'Slice of Life']", 'Movie', '2012-2012', 'PG'],MadhouseVAPDentsuYomiuriTelecastingCorporationFUNimationEntertainmentKadokawaShotenTohoCompanyStudioChizu,FantasySliceofLife
['3', 'Suzumiya Haruhi no Shoushitsu', '1', "['Kyoto Animation', 'Kadokawa Shoten', 'Bandai Entertainment', 'Animation Do']", "['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']", 'Movie', '2010-2010', 'PG-13'],KyotoAnimationKadokawaShotenBandaiEntertainmentAnimationDo,ComedyMysteryRomanceSchoolSci-FiSupernatural
['4', 'Mononoke Hime (Princess Mononoke)', '1', "['Studio Ghibli', 'Tokuma Shoten', 'GKids', 'Nippon Television Network Corporation']", "['Action', 'Adventure', 'Fantasy']", 'Movie', '1997-1997', 'PG-13'],StudioGhibliTokumaShotenGKidsNipponTelevisionNetworkCorporation,ActionAdventureFantasy
['5', 'Howl no Ugoku Shiro (Howl&#039;s Moving Castle)', '1', "['Studio Ghibli', 'd-rights', 'Tokuma Shoten', 'Walt Disney Studios']", "['Adventure', 'Drama', 'Fantasy', 'Romance']", 'Movie', '2004-2004', 'G'],StudioGhiblid-rightsTokumaShotenWaltDisneyStudios,AdventureDramaFantasyRomance
['6', 'Hotarubi no Mori e', '1', "['Aniplex', 'Brains Base']", "['Drama', 'Romance', 'Shoujo', 'Supernatural']", 'Movie', '2011-2011', 'G'],AniplexBrainsBase,DramaRomanceShoujoSupernatural
['7', 'Hotaru no Haka (Grave of the Fireflies)', '1', "['Studio Ghibli', 'ADV Films', 'Central Park Media', 'Sentai Filmworks']", "['Drama', 'Historical']", 'Movie', '1988-1988', 'PG-13'],StudioGhibliADVFilmsCentralParkMediaSentaiFilmworks,DramaHistorical
['8', 'Toki wo Kakeru Shoujo (The Girl Who Leapt Through Time)', '1', "['Madhouse', 'Kadokawa Shoten', 'Bandai', 'Bandai Entertainment', 'Kadokawa Pictures USA', 'Memory-Tech', 'Happinet Pictures']", "['Adventure', 'Drama', 'Romance', 'Sci-Fi']", 'Movie', '2006-2006', 'PG-13'],MadhouseKadokawaShotenBandaiBandaiEntertainmentKadokawaPicturesUSAMemory-TechHappinetPictures,AdventureDramaRomanceSci-Fi
['9', 'Tonari no Totoro (My Neighbor Totoro)', '1', "['Studio Ghibli', 'Studio Fantasia', 'Walt Disney Studios', 'GKids']", "['Adventure', 'Comedy', 'Supernatural']", 'Movie', '1988-1988', 'G'],StudioGhibliStudioFantasiaWaltDisneyStudiosGKids,AdventureComedySupernatural
['10', 'Kaze no Tani no Nausica\xc3\xa4 (Nausica\xc3\xa4 of the Valley of the Wind)', '1', "['Studio Ghibli', 'Studio Hibari', 'Topcraft', 'Walt Disney Studios', 'GKids']", "['Adventure', 'Fantasy']", 'Movie', '1984-1984', 'PG-13'],StudioGhibliStudioHibariTopcraftWaltDisneyStudiosGKids,AdventureFantasy
['11', 'Kaguya-hime no Monogatari (The Tale of the Princess Kaguya)', '1', "['Studio Ghibli', 'GKids']", "['Fantasy', 'Historical']", 'Movie', '2013-2013', 'G'],StudioGhibliGKids,FantasyHistorical
['12', 'Omoide no Marnie (When Marnie Was There)', '1', "['Studio Ghibli', 'Dentsu', 'Toho Company', 'Walt Disney Studios', 'GKids', 'Nippon Television Network Corporation']", "['Mystery', 'Psychological']", 'Movie', '2014-2014', 'G'],StudioGhibliDentsuTohoCompanyWaltDisneyStudiosGKidsNipponTelevisionNetworkCorporation,MysteryPsychological
