_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres,ltable_Type,ltable_ProductionHouse,ltable_Year,rtable_Title,rtable_Genres,rtable_Type,rtable_ProductionHouse,rtable_Year,gold
176,913,57,Kuroko no Basket NG-shuu (Kuroko&#039;s Basketball Specials),"['Comedy', 'School', 'Shounen', 'Sports']",Special,['Production I.G'],2012-2013,Kuroko's Basketball: Mou Ikkai Yarimasen ka,"['[]""']""",DVD Special,['Production I.G'],2014,
275,1249,68,Hajime no Ippo (Fighting Spirit),"['Comedy', 'Drama', 'Shounen', 'Sports']",TV,"['Madhouse', 'VAP', 'Geneon Universal Entertainment']",2000-2002,Fighting Spirit Special,"['Boxing', 'Hand to Hand Combat']",DVD Special,['MADHOUSE'],2003,
280,1537,71,Sidonia no Kishi (Knights of Sidonia),"['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Space']",TV,"['Starchild Records', 'Mainichi Broadcasting', 'Kodansha', 'Sentai Filmworks', 'The Klock Worx', 'Polygon Pictures']",2014-2014,Knights of Sidonia: War of the Ninth Planet,"['Action', 'Adventure', 'Aliens', 'Based on a Manga', 'CG Animation', 'Horror', 'Mecha', 'Outer Space', 'Post-apocalyptic', 'Sci Fi', 'Violence']",TV,['Polygon Pictures'],2015,
548,2510,98,Battle Athletess Daiundoukai (TV) (Battle Athletes Victory),"['Action', 'Adventure', 'Comedy', 'Drama', 'School', 'Sci-Fi', 'Shounen', 'Sports']",TV,"['AIC', 'Genco', 'Pioneer LDC', 'TV Tokyo Music']",1997-1998,Fate/Kaleid Liner Prisma Illya: Undoukai de Dance!,"['Fantasy', 'Magical Girl']",OVA,['SILVER LINK'],2014,
637,1186,101,RahXephon Specials,"['Action', 'Drama', 'Mecha', 'Music', 'Mystery', 'Romance', 'Sci-Fi']",Special,['Bones'],2003-2004,Mayoi Neko Overrun! Specials,"['[]""']""",DVD Special,['AIC'],2010,
722,2344,130,Shippuu! Iron Leaguer,"['Sci-Fi', 'Shounen', 'Sports']",TV,['Sunrise'],1993-1994,Hurricane! Iron Leaguer,"['Baseball', 'Robots', 'Soccer', 'Sports']",TV,['Sunrise'],1993 - 1994,
826,1990,150,Trinity Seven,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Shounen', 'Supernatural']",TV,"['TV Tokyo', 'Seven Arcs', 'Avex Entertainment', 'Sotsu Agency', 'Plum']",2014-2014,Persona -trinity soul-,"['Based on a Video Game', 'Drug Use', 'Mystery', 'Psychic Powers', 'Supernatural']",TV,['A-1 Pictures'],2008,
904,1238,178,Itsuka Tenma no Kuro Usagi Special,"['Comedy', 'Ecchi']",Special,['Zexcs'],2012-2012,Itsuka Tenma no Kuro Usagi,"['Based on a Light Novel', 'Demons', 'Fantasy', 'Romance', 'Vampires']",TV,['Zexcs'],2011,
960,283,187,Gokinjo Monogatari the Movie (Neighborhood Story The Movie),"['Comedy', 'Drama', 'Romance']",Movie,"['None found', 'add some']",1996-1996,Ginga Tetsudou Monogatari II,"['[]""']""",TV,['Planet'],2006 - 2007,
1046,1026,196,Mai-Otome Specials,"['Comedy', 'Drama', 'Fantasy', 'Magic']",Special,['Sunrise'],2006-2006,Hyakka Ryouran: Samurai Girls Specials,"['Ecchi', 'Nudity', 'Panty Shots']",DVD Special,['ARMS'],2010 - 2011,
1335,1052,237,Ookami to Koushinryou II Specials (Spice and Wolf II Specials),['Fantasy'],Special,"['FUNimation Entertainment', 'Brains Base']",2009-2009,Aesthetica of a Rogue Hero Specials,"['Based on a Light Novel', 'Comedy', 'Demons', 'Ecchi']",DVD Special,['ARMS'],2012 - 2013,
1343,900,238,Gekkan Shoujo Nozaki-kun Specials,"['Comedy', 'Romance', 'School']",Special,"['Doga Kobo', 'Media Factory']",2014-2015,Hagure Yuusha no Estetica Specials,"['Based on a Light Novel', 'Comedy', 'Demons', 'Ecchi']",DVD Special,['ARMS'],2012 - 2013,
1409,1084,245,Yuu☆Yuu☆Hakusho Picture Drama,"['Action', 'Comedy', 'Demons', 'Martial Arts', 'Shounen']",Special,['Studio Pierrot'],2009-2009,Space Dandy 2 Picture Drama,['Picture Drama'],DVD Special,['Bones'],2014 - 2015,
1673,672,316,Animation Seisaku Shinkou Kuromi-chan (Animation Runner Kuromi),"['Comedy', 'Drama', 'Parody']",OVA,"['Yumeta Company', 'Central Park Media']",2001-2001,Cobra The Animation,"['Action', 'Adventure', 'Aliens', 'Based on a Manga', 'Cyborgs', 'Ecchi', 'Sci Fi', 'Space Pirates']",TV,['Magic Bus'],2010,
1957,2641,363,Uchuu Kuubo Blue Noah (Space Carrier Blue Noah),"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",TV,"['None found', 'add some']",1979-1980,Space Carrier Blue Noah,"['Aliens', 'Military', 'Sci Fi']",TV,[''],1979 - 1980,
1993,2628,378,Pokemon Best Wishes! (Pokemon: Black &amp; White),"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,"['TV Tokyo', 'Oriental Light and Magic', 'Viz Media', 'MediaNet', 'Half H.P Studio', 'The Pokemon Company International', 'Studio Jack']",2010-2012,Pokemon Best Wishes! Season 2: Dekorora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,"['Family Friendly', 'Monsters']",TV Special,['OLM'],2013,
2080,3105,398,Anmitsu Hime (Princess Anmitsu),"['Comedy', 'Historical', 'Shoujo']",TV,"['Studio Pierrot', 'Fuji Pacific Music Publishing']",1986-1987,Suddenly Princess,"['Comedy', 'Fantasy']",OVA,['J.C.Staff'],1997,
2272,920,427,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"['Comedy', 'Seinen', 'Slice of Life']",Special,"['Aniplex', 'AIC Build', 'Aniplex of America']",2011-2011,Koi suru Tenshi Angelique ~Kagayaki no Ashita~ Special,"['Based on an Otome Game', 'Based on a Visual Novel']",DVD Special,['Satelight'],2007,
2342,2781,432,Persona 4 The Golden Animation,"['Adventure', 'Mystery', 'School', 'Sci-Fi', 'Super Power', 'Supernatural']",TV,"['Aniplex', 'A-1 Pictures', 'Yomiko Advertising', 'Mainichi Broadcasting', 'Movic', 'Sega', 'Aniplex of America']",2014-2014,Choujigen Game Neptune The Animation,"['Action', 'Based on a Video Game', 'Fantasy', 'Seinen']",TV,['David Production'],2013,
