_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged
63,1264,29,Kuroko no Basket 2nd Season (Kuroko&#039;s Basketball 2),ComedySchoolShounenSports,25,2013-2014,TV,ProductionI.GBandaiVisualLantisNASBanpresto,Kuroko's Basketball 2,BasedonaMangaBasketballSchoolClubShounenSportsTournaments,25,2013 - 2014,TV,ProductionI.G
133,2542,42,Ai Shoujo Pollyanna Monogatari,DramaHistoricalSliceofLife,51,1986-1986,TV,NipponAnimation,Monogatari Series: Second Season,BasedonaLightNovel,26,2013,TV,Shaft
305,917,77,Utawarerumono Specials,ActionComedyDramaFantasy,6,2006-2007,Special,OrientalLightandMagicLantis,Monthly Girls' Nozaki-kun Specials,BasedonaMangaComedySchoolLife,6,2014 - 2015,DVD Special,Dogakobo
384,1147,78,Freezing Specials,ActionComedyEcchi,6,2011-2011,Special,FUNimationEntertainmentMediaFactory,Gekkan Shoujo Nozaki-kun Specials,BasedonaMangaComedySchoolLife,6,2014 - 2015,DVD Special,Dogakobo
419,1958,81,Break Blade (TV) (Broken Blade),ActionFantasyMechaMilitaryShounen,12,2014-2014,TV,ProductionI.GBandaiVisualXebecLantis,Broken Blade: The Path of Separation,ActionFantasyMagicMechaMilitaryWar,1,2010,Movie,ProductionI.G
426,1152,82,Seirei Tsukai no Blade Dance Specials,ActionFantasySchoolSupernatural,6,2014-2015,Special,TNK,Break Blade Movie 2: Ketsubetsu no Michi,ActionFantasyMagicMechaMilitaryWar,1,2010,Movie,ProductionI.G
483,1100,89,Cluster Edge Specials,ActionFantasyMilitarySci-Fi,3,2006-2006,Special,SentaiFilmworks,Durarara!! Specials,ActionSupernatural,2,2010 - 2011,DVD Special,Brains-Base
660,2537,108,Senkou no Night Raid (Night Raid 1931),ActionHistoricalMilitarySuperPower,13,2010-2010,TV,TVTokyoAniplexA-1PicturesSentaiFilmworks,Night Raid 1931: Demon of the Opium Den,,1,2010,DVD Special,A-1Pictures
662,113,109,Ginga Tetsudou no Yoru (Night on the Galactic Railroad),DramaFantasyHistoricalKidsMystery,1,1985-1985,Movie,GroupTACCentralParkMediaDiscotek,Senkou no Night Raid: Demon of the Opium Den,,1,2010,DVD Special,A-1Pictures
675,2537,109,Senkou no Night Raid (Night Raid 1931),ActionHistoricalMilitarySuperPower,13,2010-2010,TV,TVTokyoAniplexA-1PicturesSentaiFilmworks,Senkou no Night Raid: Demon of the Opium Den,,1,2010,DVD Special,A-1Pictures
717,1578,128,Soukou Kihei Votoms (Armored Trooper Votoms),ActionDramaMechaMilitarySci-FiSpace,52,1983-1984,TV,SunriseTVTokyoNipponAnimationCentralParkMedia,Soukou Kihei Votoms: Big Battle,ActionMechaOriginalWorkSciFi,1,1986,OVA,Sunrise
773,1192,133,Seikimatsu Occult Gakuin Specials (Occult Academy Specials),ComedySchoolSupernatural,4,2010-2011,Special,AniplexXebecA-1PicturesNISAmericaInc.,Kanokon ~Manatsu no Daishanikusai~ Specials,EcchiNudityPantyShots,2,2009,DVD Special,XEBEC
792,1043,142,Mokke Specials (Mokke Special Episodes),MysterySliceofLifeSupernatural,2,2008-2008,Special,MadhouseKodansha,Amaenaideyo!! Special,BasedonaMangaComedyEcchiNudity,1,2005,DVD Special,StudioDeen
800,2884,142,Amaenaide yo!! (Ah My Buddha),ComedyEcchiHaremRomanceSupernatural,12,2005-2005,TV,StudioDeenRightStufMediaBlasters,Amaenaideyo!! Special,BasedonaMangaComedyEcchiNudity,1,2005,DVD Special,StudioDeen
1726,1599,329,Eikoku Koi Monogatari Emma (Emma: A Victorian Romance),DramaHistoricalRomanceSeinenSliceofLife,12,2005-2005,TV,StudioPierrotPonyCanyonTBSRightStufToshibaEntertainment,Wellber no Monogatari: Sisters of Wellber,AdventureFantasyMedievalOriginalWorkPolitical,13,2007,TV,TransArtsCo.
1910,487,360,Mobile Suit Gundam 00 Special Edition,ActionDramaMechaMilitarySci-Fi,3,2009-2010,OVA,SunriseSotsuAgencyAsatsuDKMainichiBroadcasting,All Purpose Cultural Cat Nuku Nuku Special 1,BasedonaManga,1,2003,DVD Special,AshiProductions
1961,2663,368,Aiura,ComedySchoolShounenSliceofLife,12,2013-2013,TV,PonyCanyonTohokushinshaFilmCorporationLIDENFILMS,Aiura,BasedonaMangaComedySchoolLife,12,2013,TV,LIDENFILMS
2070,1374,398,Princess Tutu,ComedyMagicRomanceShoujo,38,2002-2003,TV,HalFilmMakerADVFilmsMemory-TechGANSISMarvelousAQL,Suddenly Princess,ComedyFantasy,3,1997,OVA,J.C.Staff
2164,1173,417,Shinmai Maou no Testament Specials,ComedyEcchi,6,2015-2015,Special,ProductionIMS,Blue Seed Specials,,13,,DVD Special,ProductionI.G
2249,868,421,Burn Up! W,ComedyEcchiMechaSci-FiShounen,4,1996-1996,OVA,AIC,Burn Up Excess,ActionEcchiPoliceViolence,13,1997 - 1998,TV,MagicBus
2357,2636,444,Haunted Junction,ComedyShounenSupernatural,12,1997-1997,TV,StudioDeenBandaiEntertainment,Haunted Junction,BasedonaMangaComedyEpisodicSchoolClubSchoolLifeSupernatural,12,1997,TV,StudioDeen
2919,1239,508,Robot Girls Z Specials,ComedyParody,3,2014-2014,Special,ToeiAnimationNipponColumbiaLandQstudios,Linebarrels of Iron Specials,,2,2010,DVD Special,GONZO
3091,2787,540,Choujikuu Seiki Orguss (The Super Dimension Century Orguss),ActionAdventureMechaSci-FiShounen,35,1983-1984,TV,ArtlandTokyoMovieShinshaVictorEntertainmentMainichiBroadcastingStudioNueBigWestDiscotek,Choujikuu Yousai Macross II: Lovers Again,AliensMechaMilitaryMusicOuterSpaceSciFiWar,6,1992,OVA,AIC
3096,2994,543,Mega Man (Megaman),ActionAdventureComedy,27,1994-1995,TV,ADVFilmsProductionReedCapcomDiscotek,MegaMan: NT Warrior,ActionAdventureComedySciFi,56,2002 - 2003,TV,XEBEC
