ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
7,"Steins;Gate",24,"['WHITE FOX']","['Based on a Visual Novel', 'LGBT Themes', 'Psychological', 'Sci Fi', 'Thriller', 'Time Travel']",TV,2011,4.7,WHITEFOX,BasedonaVisualNovelLGBTThemesPsychologicalSciFiThrillerTimeTravel
10,"Mushishi Zoku Shou 2",10,"['Artland']","['Based on a Manga', 'Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6,Artland,BasedonaMangaEpisodicFantasySeinenSupernatural
10,"Mushishi Zoku Shou 2",10,"['Artland']","['Based on a Manga', 'Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6,Artland,BasedonaMangaEpisodicFantasySeinenSupernatural
11,"Hunter x Hunter (2011)",148,"['MADHOUSE']","['Action', 'Adventure', 'Based on a Manga', 'Shounen', 'Superpowers', 'Violence']",TV,2011 - 2014,4.6,MADHOUSE,ActionAdventureBasedonaMangaShounenSuperpowersViolence
14,"Ookami Kodomo no Ame to Yuki",1,"['Studio Chizu']","['Childcare', 'Coming of Age', 'Countryside', 'Fantasy', 'Slice of Life']",Movie,2012,4.6,StudioChizu,ChildcareComingofAgeCountrysideFantasySliceofLife
17,"Suzumiya Haruhi no Shoushitsu",1,"['Kyoto Animation']","['Drama', 'Psychological', 'Sci Fi', 'Time Travel']",Movie,2010,4.6,KyotoAnimation,DramaPsychologicalSciFiTimeTravel
18,"The Disappearance of Haruhi Suzumiya",1,"['Kyoto Animation']","['Drama', 'Psychological', 'Sci Fi', 'Time Travel']",Movie,2010,4.6,KyotoAnimation,DramaPsychologicalSciFiTimeTravel
19,"Mushishi Zoku Shou",10,"['Artland']","['Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6,Artland,EpisodicFantasySeinenSupernatural
19,"Mushishi Zoku Shou",10,"['Artland']","['Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6,Artland,EpisodicFantasySeinenSupernatural
20,"Mushi-shi -Next Passage-",10,"['Artland']","['Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6,Artland,EpisodicFantasySeinenSupernatural
21,"Kuroko's Basketball 3",25,"['Production I.G']","['Based on a Manga', 'Basketball', 'School Club', 'Shounen', 'Sports', 'Tournaments']",TV,2015,4.6,ProductionI.G,BasedonaMangaBasketballSchoolClubShounenSportsTournaments
21,"Kuroko's Basketball 3",25,"['Production I.G']","['Based on a Manga', 'Basketball', 'School Club', 'Shounen', 'Sports', 'Tournaments']",TV,2015,4.6,ProductionI.G,BasedonaMangaBasketballSchoolClubShounenSportsTournaments
24,"Haikyuu!! Second Season",2+,"['Production I.G']","['Based on a Manga', 'School Club', 'School Life', 'Sports']",TV,2015 - ?,4.6,ProductionI.G,BasedonaMangaSchoolClubSchoolLifeSports
26,"Shigatsu wa Kimi no Uso",22,"['A-1 Pictures']","['Based on a Manga', 'Classical Music', 'Drama', 'Music', 'noitaminA', 'Psychological', 'Romance', 'School Life', 'Tournaments']",TV,2014 - 2015,4.6,A-1Pictures,BasedonaMangaClassicalMusicDramaMusicnoitaminAPsychologicalRomanceSchoolLifeTournaments
27,"Your lie in April",22,"['A-1 Pictures']","['Based on a Manga', 'Classical Music', 'Drama', 'Music', 'noitaminA', 'Psychological', 'Romance', 'School Life', 'Tournaments']",TV,2014 - 2015,4.6,A-1Pictures,BasedonaMangaClassicalMusicDramaMusicnoitaminAPsychologicalRomanceSchoolLifeTournaments
28,"Fate/Zero 2",12,"['ufotable']","['Action', 'Based on a Light Novel', 'Fantasy', 'Magic', 'Superpowers', 'Violence']",TV,2012,4.6,ufotable,ActionBasedonaLightNovelFantasyMagicSuperpowersViolence
29,"Kuroko's Basketball 2",25,"['Production I.G']","['Based on a Manga', 'Basketball', 'School Club', 'Shounen', 'Sports', 'Tournaments']",TV,2013 - 2014,4.6,ProductionI.G,BasedonaMangaBasketballSchoolClubShounenSportsTournaments
29,"Kuroko's Basketball 2",25,"['Production I.G']","['Based on a Manga', 'Basketball', 'School Club', 'Shounen', 'Sports', 'Tournaments']",TV,2013 - 2014,4.6,ProductionI.G,BasedonaMangaBasketballSchoolClubShounenSportsTournaments
30,"Natsume Yuujinchou Shi",13,"['Brains-Base']","['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2012,4.6,Brains-Base,BasedonaMangaDramaEpisodicJapaneseMythologySliceofLifeSupernatural
31,"Natsume's Book of Friends Season 4",13,"['Brains-Base']","['Based on a Manga', 'Drama', 'Episodic', 'Japanese Mythology', 'Slice of Life', 'Supernatural']",TV,2012,4.6,Brains-Base,BasedonaMangaDramaEpisodicJapaneseMythologySliceofLifeSupernatural
33,"Mushishi Tokubetsu-hen: Hihamukage",1,"['Artland']","['Fantasy', 'Seinen', 'Supernatural']",TV Special,2014,4.6,Artland,FantasySeinenSupernatural
34,"Bunny Drop",11,"['Production I.G']","['Based on a Manga', 'Childcare', 'Drama', 'noitaminA', 'Slice of Life']",TV,2011,4.6,ProductionI.G,BasedonaMangaChildcareDramanoitaminASliceofLife
35,"Usagi Drop",11,"['Production I.G']","['Based on a Manga', 'Childcare', 'Drama', 'noitaminA', 'Slice of Life']",TV,2011,4.6,ProductionI.G,BasedonaMangaChildcareDramanoitaminASliceofLife
35,"Usagi Drop",11,"['Production I.G']","['Based on a Manga', 'Childcare', 'Drama', 'noitaminA', 'Slice of Life']",TV,2011,4.6,ProductionI.G,BasedonaMangaChildcareDramanoitaminASliceofLife
38,"Steins;Gate The Movie",1,"['WHITE FOX']","['Based on a Visual Novel', 'Drama', 'Time Travel']",Movie,2013,4.6,WHITEFOX,BasedonaVisualNovelDramaTimeTravel
40,"Hajime no Ippo: The Fighting!",76,"['MADHOUSE']","['Action', 'Based on a Manga', 'Boxing', 'Drama', 'Hand to Hand Combat', 'Shounen', 'Sports']",TV,2000 - 2002,4.6,MADHOUSE,ActionBasedonaMangaBoxingDramaHandtoHandCombatShounenSports
41,"Fighting Spirit",76,"['MADHOUSE']","['Action', 'Based on a Manga', 'Boxing', 'Drama', 'Hand to Hand Combat', 'Shounen', 'Sports']",TV,2000 - 2002,4.6,MADHOUSE,ActionBasedonaMangaBoxingDramaHandtoHandCombatShounenSports
43,"Spirited Away",1,"['Studio Ghibli']","['Adventure', 'Family Friendly', 'Fantasy', 'Japanese Mythology', 'Magic', 'Original Work', 'Person in a Strange World']",Movie,2001,4.6,StudioGhibli,AdventureFamilyFriendlyFantasyJapaneseMythologyMagicOriginalWorkPersoninaStrangeWorld
44,"Sen to Chihiro no Kamikakushi",1,"['Studio Ghibli']","['Adventure', 'Family Friendly', 'Fantasy', 'Japanese Mythology', 'Magic', 'Original Work', 'Person in a Strange World']",Movie,2001,4.6,StudioGhibli,AdventureFamilyFriendlyFantasyJapaneseMythologyMagicOriginalWorkPersoninaStrangeWorld
