ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
10,"Mushishi Zoku Shou 2",10,"['Artland']","['Based on a Manga', 'Episodic', 'Fantasy', 'Seinen', 'Supernatural']",TV,2014,4.6,Artland,BasedonaMangaEpisodicFantasySeinenSupernatural
1000,"Galaxy Angel Rune",13,"['Satelight']","['Comedy', 'Outer Space', 'Sci Fi']",TV,2006,2.7,Satelight,ComedyOuterSpaceSciFi
10003,"30th Gundam Perfect Mission",1,"['Sunrise']","['Action', 'Mecha', 'Sci Fi', 'Shorts']",Other,2009,3,Sunrise,ActionMechaSciFiShorts
10004,"Atama Yama",1,"['Yamamura Animation']","['Fantasy', 'Shorts']",OVA,2002,3,YamamuraAnimation,FantasyShorts
10005,"Grander Musashi",25,"['Nippon Animation']","['Sports']",TV,1997,3,NipponAnimation,Sports
10010,"Shuffle! Memories",12,"['asread']","['Based on an Eroge', 'Based on a Visual Novel', 'Comedy', 'Harem']",TV,2007,3,asread,BasedonanErogeBasedonaVisualNovelComedyHarem
10012,"Interlude",3,"['Toei Animation']","['Demons', 'Horror']",OVA,2004,3,ToeiAnimation,DemonsHorror
10013,"Pokemon: Diamond and Pearl Special",1,"['OLM']","['Family Friendly', 'Fantasy', 'Shounen']",TV Special,2011,3,OLM,FamilyFriendlyFantasyShounen
10015,"Narue no Sekai",12,"['GONZO']","['Aliens', 'Comedy', 'Romance', 'Sci Fi']",TV,2003,3,GONZO,AliensComedyRomanceSciFi
10018,"Binchou-tan",12,"['Studio Deen']","['Based on a Manga', 'Comedy', 'Countryside', 'Family Friendly', 'Moe', 'Slice of Life']",TV,2006,3,StudioDeen,BasedonaMangaComedyCountrysideFamilyFriendlyMoeSliceofLife
10020,"Mokke",24,"['MADHOUSE']","['Based on a Manga', 'Family Friendly', 'Slice of Life', 'Supernatural']",TV,2007 - 2008,2.9,MADHOUSE,BasedonaMangaFamilyFriendlySliceofLifeSupernatural
10025,"Seikoku no Dragonar",12,"['C-Station']","['Ecchi', 'Fantasy', 'School Life']",TV,2014,2.9,C-Station,EcchiFantasySchoolLife
10035,"Tide-Line Blue",12,"['Telecom Animation Film']","['Action', 'Adventure', 'Military', 'Original Work', 'Post-apocalyptic', 'Sci Fi', 'War']",TV,2005,2.9,TelecomAnimationFilm,ActionAdventureMilitaryOriginalWorkPost-apocalypticSciFiWar
1007,"Cardfight!! Vanguard G",48,"['TMS Entertainment']","['Action', 'Based on a Card Game', 'Card Battles', 'Family Friendly', 'Fantasy', 'Shounen', 'Tournaments']",TV,2014 - 2015,2.7,TMSEntertainment,ActionBasedonaCardGameCardBattlesFamilyFriendlyFantasyShounenTournaments
1009,"Knight Hunters",25,"['Studio Deen']","['Action', 'Assassins', 'Drama']",TV,1998,2.7,StudioDeen,ActionAssassinsDrama
101,"Mayoi Neko Overrun! Specials",6,"['AIC']","['"[]"']",DVD Special,2010,2.9,AIC,
1012,"Rail Wars!",12,"['Passione']","['Based on a Light Novel', 'Ecchi', 'Harem', 'Nudity', 'Trains', 'Work Life']",TV,2014,2.7,Passione,BasedonaLightNovelEcchiHaremNudityTrainsWorkLife
1014,"30-sai no Hoken Taiiku",12,"['Gathering']","['Comedy', 'Ecchi', 'Seinen', 'Sexual Content', 'Supernatural']",TV,2011,2.7,Gathering,ComedyEcchiSeinenSexualContentSupernatural
1019,"Dance in the Vampire Bund Recap",1,"['Shaft']","['Action', 'Ecchi', 'Nudity', 'Recap', 'Vampires']",TV Special,2010,2.7,Shaft,ActionEcchiNudityRecapVampires
102,"Final Approach",13,"['Zexcs']","['Comedy', 'Romance', 'Seinen']",TV,2004,2.9,Zexcs,ComedyRomanceSeinen
1020,"Megami Kouhosei",12,"['XEBEC']","['Aliens', 'Mecha', 'Outer Space', 'Sci Fi']",TV,2000,2.7,XEBEC,AliensMechaOuterSpaceSciFi
1024,"Tenrankai no E",1,"['Mushi Pro']","['Collections']",Movie,1966,2.7,MushiPro,Collections
1026,"Ai Shoujo Pollyanna Monogatari",51,"['Nippon Animation']","['America', 'Based on a Novel', 'World Masterpiece Theater']",TV,1986,2.7,NipponAnimation,AmericaBasedonaNovelWorldMasterpieceTheater
1029,"Penguin Musume Heart Special",1,"['']","['"[]"']",Web,2008,2.7,,
1037,"Attack on Titan Picture Drama",9,"['Production I.G']","['Based on a Manga', 'Comedy', 'Fantasy', 'Picture Drama']",DVD Special,2013 - 2014,2.7,ProductionI.G,BasedonaMangaComedyFantasyPictureDrama
1038,"Shingeki no Kyojin Picture Drama",9,"['Production I.G']","['Based on a Manga', 'Comedy', 'Fantasy', 'Picture Drama']",DVD Special,2013 - 2014,2.7,ProductionI.G,BasedonaMangaComedyFantasyPictureDrama
1045,"Koufuku Graffiti",12,"['Shaft']","['Based on a Manga', 'Food and Beverage', 'Slice of Life']",TV,2015,2.7,Shaft,BasedonaMangaFoodandBeverageSliceofLife
1048,"Sword Art Online: Sword Art Offline",9,"['A-1 Pictures']","['Comedy']",DVD Special,2012 - 2013,2.7,A-1Pictures,Comedy
105,"Hurricane Polymar",26,"['Tatsunoko Pro.']","['Action', 'Adventure', 'Sci Fi', 'Superpowers']",TV,1974 - 1975,2.9,TatsunokoPro.,ActionAdventureSciFiSuperpowers
1050,"My Life",1,"['']","['Shorts']",Web,2012,2.7,,Shorts
1052,"Kyou no Asuka Show",20,"['SILVER LINK']","['Comedy', 'Ecchi', 'Panty Shots', 'Slice of Life']",Web,2012 - 2013,2.7,SILVERLINK,ComedyEcchiPantyShotsSliceofLife
1056,"Violinist of Hamelin",25,"['Studio Deen']","['Adventure', 'Classical Music', 'Fantasy', 'Music']",TV,1996 - 1997,2.7,StudioDeen,AdventureClassicalMusicFantasyMusic
106,"Kishin Taisen Gigantic Formula",26,"['Brains-Base']","['Action', 'Mecha', 'Original Work', 'Sci Fi']",TV,2007,2.9,Brains-Base,ActionMechaOriginalWorkSciFi
1060,"Sora no Manimani Specials",3,"['Studio Comet']","['Slice of Life']",DVD Special,2009,2.7,StudioComet,SliceofLife
1061,"Juusenshi Gulkeeva",26,"['Sunrise']","['Reincarnation']",TV,1995,2.7,Sunrise,Reincarnation
1063,"Starship Girl Yamamoto Yohko",26,"['J.C.Staff']","['Sci Fi']",TV,1999,2.7,J.C.Staff,SciFi
1064,"DECO*27: Light Lag",1,"['']","['"[]"']",Music Video,2011,2.7,,
1066,"Inugami-san to Nekoyama-san Special",1,"['Seven']","['Based on a Manga', 'Comedy', 'Shoujo-ai', 'Slice of Life']",DVD Special,2014,2.7,Seven,BasedonaMangaComedyShoujo-aiSliceofLife
1067,"Magical Girl Pretty Sammy",3,"['AIC']","['Magical Girl']",OVA,1995 - 1997,2.7,AIC,MagicalGirl
1068,"Tenchi Muyo: Magical Girl Pretty Sammy",3,"['AIC']","['Magical Girl']",OVA,1995 - 1997,2.7,AIC,MagicalGirl
