ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
1243,"Steins;Gate",24,"['Frontier Works', 'FUNimation Entertainment', 'Media Factory', 'Movic', 'AT-X', 'White Fox', 'Kadokawa Pictures Japan', 'Nitroplus']","['Sci-Fi', 'Thriller']",TV,2011-2011,PG-13,FrontierWorksFUNimationEntertainmentMediaFactoryMovicAT-XWhiteFoxKadokawaPicturesJapanNitroplus,Sci-FiThriller
1247,"Mushishi Zoku Shou 2nd Season",10,"['Artland', 'Aniplex', 'Aniplex of America']","['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,2014-2014,PG-13,ArtlandAniplexAniplexofAmerica,AdventureFantasyHistoricalMysterySeinenSliceofLifeSupernatural
1253,"Mushishi Zoku Shou (MUSHI-SHI",10,"['Artland', 'Aniplex', 'Aniplex of America']","['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,2014-2014,PG-13,ArtlandAniplexAniplexofAmerica,AdventureFantasyHistoricalMysterySeinenSliceofLifeSupernatural
1244,"Hunter x Hunter (2011)",148,"['Madhouse', 'VAP', 'Viz Media', 'Nippon Television Network Corporation']","['Action', 'Adventure', 'Shounen', 'Super Power']",TV,2011-2014,R,MadhouseVAPVizMediaNipponTelevisionNetworkCorporation,ActionAdventureShounenSuperPower
2,"Ookami Kodomo no Ame to Yuki (Wolf Children)",1,"['Madhouse', 'VAP', 'Dentsu', 'Yomiuri Telecasting Corporation', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Toho Company', 'Studio Chizu']","['Fantasy', 'Slice of Life']",Movie,2012-2012,PG,MadhouseVAPDentsuYomiuriTelecastingCorporationFUNimationEntertainmentKadokawaShotenTohoCompanyStudioChizu,FantasySliceofLife
3,"Suzumiya Haruhi no Shoushitsu",1,"['Kyoto Animation', 'Kadokawa Shoten', 'Bandai Entertainment', 'Animation Do']","['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",Movie,2010-2010,PG-13,KyotoAnimationKadokawaShotenBandaiEntertainmentAnimationDo,ComedyMysteryRomanceSchoolSci-FiSupernatural
3,"Suzumiya Haruhi no Shoushitsu",1,"['Kyoto Animation', 'Kadokawa Shoten', 'Bandai Entertainment', 'Animation Do']","['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",Movie,2010-2010,PG-13,KyotoAnimationKadokawaShotenBandaiEntertainmentAnimationDo,ComedyMysteryRomanceSchoolSci-FiSupernatural
1247,"Mushishi Zoku Shou 2nd Season",10,"['Artland', 'Aniplex', 'Aniplex of America']","['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,2014-2014,PG-13,ArtlandAniplexAniplexofAmerica,AdventureFantasyHistoricalMysterySeinenSliceofLifeSupernatural
1253,"Mushishi Zoku Shou (MUSHI-SHI",10,"['Artland', 'Aniplex', 'Aniplex of America']","['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,2014-2014,PG-13,ArtlandAniplexAniplexofAmerica,AdventureFantasyHistoricalMysterySeinenSliceofLifeSupernatural
1247,"Mushishi Zoku Shou 2nd Season",10,"['Artland', 'Aniplex', 'Aniplex of America']","['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,2014-2014,PG-13,ArtlandAniplexAniplexofAmerica,AdventureFantasyHistoricalMysterySeinenSliceofLifeSupernatural
896,"Kuroko no Basket 3rd Season NG-shuu",9,"['Production I.G', 'Bandai Visual']","['Comedy', 'Sports']",Special,2015-2015,PG-13,ProductionI.GBandaiVisual,ComedySports
1260,"Kuroko no Basket 3rd Season",25,"['Production I.G', 'Bandai Visual', 'Lantis', 'NAS', 'Banpresto']","['Comedy', 'School', 'Shounen', 'Sports']",TV,2015-2015,PG-13,ProductionI.GBandaiVisualLantisNASBanpresto,ComedySchoolShounenSports
