ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
1243,"Steins;Gate",24,"['Frontier Works', 'FUNimation Entertainment', 'Media Factory', 'Movic', 'AT-X', 'White Fox', 'Kadokawa Pictures Japan', 'Nitroplus']","['Sci-Fi', 'Thriller']",TV,2011-2011,PG-13,FrontierWorksFUNimationEntertainmentMediaFactoryMovicAT-XWhiteFoxKadokawaPicturesJapanNitroplus,Sci-FiThriller
1247,"Mushishi Zoku Shou 2nd Season",10,"['Artland', 'Aniplex', 'Aniplex of America']","['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",TV,2014-2014,PG-13,ArtlandAniplexAniplexofAmerica,AdventureFantasyHistoricalMysterySeinenSliceofLifeSupernatural
1244,"Hunter x Hunter (2011)",148,"['Madhouse', 'VAP', 'Viz Media', 'Nippon Television Network Corporation']","['Action', 'Adventure', 'Shounen', 'Super Power']",TV,2011-2014,R,MadhouseVAPVizMediaNipponTelevisionNetworkCorporation,ActionAdventureShounenSuperPower
2,"Ookami Kodomo no Ame to Yuki (Wolf Children)",1,"['Madhouse', 'VAP', 'Dentsu', 'Yomiuri Telecasting Corporation', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Toho Company', 'Studio Chizu']","['Fantasy', 'Slice of Life']",Movie,2012-2012,PG,MadhouseVAPDentsuYomiuriTelecastingCorporationFUNimationEntertainmentKadokawaShotenTohoCompanyStudioChizu,FantasySliceofLife
3,"Suzumiya Haruhi no Shoushitsu",1,"['Kyoto Animation', 'Kadokawa Shoten', 'Bandai Entertainment', 'Animation Do']","['Comedy', 'Mystery', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",Movie,2010-2010,PG-13,KyotoAnimationKadokawaShotenBandaiEntertainmentAnimationDo,ComedyMysteryRomanceSchoolSci-FiSupernatural
896,"Kuroko no Basket 3rd Season NG-shuu",9,"['Production I.G', 'Bandai Visual']","['Comedy', 'Sports']",Special,2015-2015,PG-13,ProductionI.GBandaiVisual,ComedySports
1248,"Haikyuu!! Second Season",25,"['Production I.G', 'Sentai Filmworks']","['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",TV,2015 -2015 ,PG-13,ProductionI.GSentaiFilmworks,ComedyDramaSchoolShounenSports
1246,"Shigatsu wa Kimi no Uso (Your Lie in April)",22,"['Aniplex', 'Dentsu', 'A-1 Pictures', 'Kodansha', 'Fuji TV', 'Aniplex of America']","['Drama', 'Music', 'Romance', 'School', 'Shounen']",TV,2014-2015,PG-13,AniplexDentsuA-1PicturesKodanshaFujiTVAniplexofAmerica,DramaMusicRomanceSchoolShounen
996,"Fate/Zero Remix",2,"['Aniplex', 'ufotable', 'Nitroplus', 'Aniplex of America']","['Action', 'Fantasy', 'Supernatural']",Special,2012-2012,R,AniplexufotableNitroplusAniplexofAmerica,ActionFantasySupernatural
902,"Kuroko no Basket 2nd Season NG-shuu",9,"['Production I.G']","['Comedy', 'Sports']",Special,2014-2014,PG-13,ProductionI.G,ComedySports
1257,"Natsume Yuujinchou Shi (Natsume&#039;s Book of Friends Four)",13,"['Aniplex', 'Brains Base', 'NAS', 'NIS America', 'Inc.', 'Sony Music Entertainment']","['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']",TV,2012-2012,PG-13,AniplexBrainsBaseNASNISAmericaInc.SonyMusicEntertainment,DramaFantasyShoujoSliceofLifeSupernatural
1279,"Usagi Drop (Bunny Drop)",11,"['Production I.G', 'Fuji TV', 'NIS America', 'Inc.', 'Sony Music Entertainment', 'Sakura Create', 'Fuji Pacific Music Publishing']","['Josei', 'Slice of Life']",TV,2011-2011,PG-13,ProductionI.GFujiTVNISAmericaInc.SonyMusicEntertainmentSakuraCreateFujiPacificMusicPublishing,JoseiSliceofLife
899,"Usagi Drop Specials",4,"['Production I.G', 'NIS America', 'Inc.']","['Josei', 'Slice of Life']",Special,2011-2012,PG-13,ProductionI.GNISAmericaInc.,JoseiSliceofLife
