_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged,gold
21622,3,17,Suzumiya Haruhi no Shoushitsu,ComedyMysteryRomanceSchoolSci-FiSupernatural,1,2010-2010,Movie,KyotoAnimationKadokawaShotenBandaiEntertainmentAnimationDo,Suzumiya Haruhi no Shoushitsu,DramaPsychologicalSciFiTimeTravel,1,2010,Movie,KyotoAnimation,1
25500,5,5343,Howl no Ugoku Shiro (Howl&#039;s Moving Castle),AdventureDramaFantasyRomance,1,2004-2004,Movie,StudioGhiblid-rightsTokumaShotenWaltDisneyStudios,Howl's Moving Castle,AdventureBasedonaNovelFamilyFriendlyFantasyMagic,1,2004,Movie,StudioGhibli,1
21258,6,46,Hotarubi no Mori e,DramaRomanceShoujoSupernatural,1,2011-2011,Movie,AniplexBrainsBase,Hotarubi no Mori e,BasedonaMangaComingofAgeJapaneseMythologyRomanceShoujoSupernatural,1,2011,Movie,Brains-Base,1
35823,11,7219,Kaguya-hime no Monogatari (The Tale of the Princess Kaguya),FantasyHistorical,1,2013-2013,Movie,StudioGhibliGKids,One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue,Pirates,1,2007,OVA,ToeiAnimation,0
28070,13,6008,Love Live! The School Idol Movie,MusicSchoolSliceofLife,1,2015-2015,Movie,SunriseLantis,Gakuen Mokushiroku: High School of the Dead,ActionBasedonaMangaEcchiExplicitViolenceHorrorPandemicPantyShotsPhysicalAbuseSurvivalZombies,12,2010,TV,MADHOUSE,0
19720,38,3787,Flanders no Inu (Movie) (The Dog of Flanders),AdventureDrama,1,1997-1997,Movie,NipponAnimationShochikuFujiTVPioneerLDC,The Familiar of Zero: Futatsuki no Kishi,BasedonaLightNovelComedyFantasyMagicMagicSchoolMaster-ServantRelationshipPersoninaStrangeWorldTsundere,12,2007,TV,J.C.Staff,0
17213,48,3256,Saint_Oniisan (Movie) (Saint_Young Men (Movie)),ComedySeinenSliceofLife,1,2013-2013,Movie,AniplexA-1PicturesKodanshaTohoCompany,Saint Young Men Movie,FantasyReligionSliceofLife,1,2013,Movie,A-1Pictures,1
25858,57,5413,Piano no Mori,AdventureComedyDramaMusicSchool,1,2007-2007,Movie,MadhouseSonyMusicEntertainmentCycloneGraphicsinc,Piano no Mori,ClassicalMusicDramaMusicSchoolLife,1,2007,Movie,MADHOUSE,1
8063,58,1449,Transformers the Movie (Transformers: The Movie),ActionMecha,1,1986-1986,Movie,ToeiAnimationHasbro,Dr. Slump Movie 4: The Secret of Nanaba Castle,,1,1984,Movie,ToeiAnimation,0
14939,58,2746,Transformers the Movie (Transformers: The Movie),ActionMecha,1,1986-1986,Movie,ToeiAnimationHasbro,Transformers: Energon Special,Mecha,1,2004,TV Special,Actas,0
29784,64,6287,Memories,DramaHorrorPsychologicalSci-Fi,3,1995-1995,Movie,MadhouseStudio4°C,Memories,CollectionsSciFi,3,1995,OVA,Studio4\xc2\xb0C,1
30637,67,6433,Toaru Hikuushi e no Tsuioku (The Princess and the Pilot),AdventureMilitaryRomance,1,2011-2011,Movie,MadhouseTVTokyoTMSEntertainmentMovicNISAmericaInc.CycloneGraphicsinc,Kaleido Star: The Amazing Princess Without a Smile,,1,2004,OVA,GONZO,0
8318,68,1487,Ginga Tetsudou 999 (Movie),AdventureDramaFantasySci-FiSpace,1,1979-1979,Movie,ToeiAnimationDiscotek,Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseruka!!,BasedonaMangaSciFiTrains,1,1980,Other,,0
24722,83,5215,Acchi Kocchi,Dementia,1,1962-1962,Movie,Nonefoundaddsome,"Chiisana Obake Acchi, Kocchi, Socchi",ComedyGhostsSupernatural,50,1991 - 1992,TV,StudioPierrot,0
30173,90,6352,Digimon Adventure Movie (Digimon: The Movie),ActionFantasyKidsSci-Fi,1,1999-1999,Movie,ToeiAnimation,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,ActionAdventureAnimalAbuseBasedonaMangaComedyExplicitViolenceMonster-of-the-weekSupernatural,24,2015,TV,DavidProduction,0
27706,92,5960,Ghost in the Shell (2015),ActionMechaPolicePsychologicalSci-Fi,1,2015-2015,Movie,ProductionI.GFUNimationEntertainment,Ghost in the Shell 2: Innocence,CyberpunkCyborgsFuturisticHackingSciFi,1,2004,Movie,ProductionI.G,0
32412,92,6724,Ghost in the Shell (2015),ActionMechaPolicePsychologicalSci-Fi,1,2015-2015,Movie,ProductionI.GFUNimationEntertainment,Ghost in the Shell: Stand Alone Complex 2nd Gig - Tachikoma Days,ComedySciFi,26,,Other,,1
24671,98,5188,Ashita no Joe 2 (Movie),DramaSports,1,1981-1981,Movie,TokyoMovieShinsha,GeGeGe no Kitarou Movie (1985),JapaneseMythologySupernatural,1,1985,Movie,ToeiAnimation,0
23576,101,5046,Tibet Inu Monogatari (The Tibetan Dog),Adventure,1,2011-2011,Movie,Madhouse,Kizumonogatari Part 2: Nekketsu-hen,BasedonaLightNovelSupernatural,Movie ,,Movie,Shaft,0
26406,110,5604,Shakugan no Shana Movie (Shakugan no Shana: The Movie),ActionFantasySupernatural,1,2007-2007,Movie,J.C.StaffFUNimationEntertainmentASCIIMediaWorksShowgate,"Wake Up, Girls! Movie 1: The Shadow of Youth",Idols,1,2015,Movie,Ordet,0
33048,112,6822,Genius Party Beyond,DementiaFantasyMusicSci-Fi,5,2008-2008,Movie,Studio4°C,Genius Party Beyond,Collections,5,2008,Movie,Studio4\xc2\xb0C,1
662,113,109,Ginga Tetsudou no Yoru (Night on the Galactic Railroad),DramaFantasyHistoricalKidsMystery,1,1985-1985,Movie,GroupTACCentralParkMediaDiscotek,Senkou no Night Raid: Demon of the Opium Den,,1,2010,DVD Special,A-1Pictures,0
32284,118,6716,Slayers Return (Slayers Movie 2),AdventureComedyFantasyMagicShounen,1,1996-1996,Movie,J.C.StaffADVFilms,Slayers Revolution,AdventureBasedonaLightNovelComedyFantasyMagic,13,2008,TV,J.C.Staff,0
34083,133,6975,Black Jack the Movie,Drama,1,1996-1996,Movie,TezukaProductions,Cardcaptor Sakura: The Movie,FamilyFriendlyMagicalGirlShoujo,1,1999,Movie,MADHOUSE,0
32694,133,6776,Black Jack the Movie,Drama,1,1996-1996,Movie,TezukaProductions,Black Jack OVA,DramaEpisodic,10,1993 - 1996,OVA,StudioComet,1
35829,160,7219,Space Adventure Cobra (Space Adventure Cobra: The Movie),ActionAdventureSci-FiSpace,1,1982-1982,Movie,TMSEntertainmentDiscotek,One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue,Pirates,1,2007,OVA,ToeiAnimation,0
9981,170,1775,Pandane to Tamago-hime (Mr. Dough and the Egg Princess),AdventureFantasy,1,2010-2010,Movie,StudioGhibli,"Pokemon: Diancie, Princess of the Diamond Domain",FamilyFriendlyFantasyMonstersShounen,1,2014,Web,OLM,0
16263,197,2992,Mobile Suit Gundam F91,DramaMechaMilitarySci-FiShounenSpace,1,1991-1991,Movie,SunriseShochikuBandaiEntertainmentAtelierMusa,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,MechaSciFi,1,1992,Other,Sunrise,0
6771,208,1124,Yuu_Yuu_Hakusho (Movie) (Yu Yu Hakusho: The Movie),ActionAdventureComedy,1,1993-1993,Movie,StudioPierrotFUNimationEntertainmentMediaBlasters,Persona 3 The Movie 1: Spring of Birth,BasedonaVideoGame,1,2013,Movie,AICA.S.T.A.,0
34085,217,6975,eX-Driver the Movie,ActionAdventureCarsComedySci-FiShounen,1,2002-2002,Movie,BandaiVisualActasGenco,Cardcaptor Sakura: The Movie,FamilyFriendlyMagicalGirlShoujo,1,1999,Movie,MADHOUSE,0
34234,220,6998,Jigoku Sensei Nube (Movie) (Hell Teacher Nube),AdventureComedyHorrorSchoolShounenSupernatural,1,1996-1996,Movie,ToeiAnimation,Please Teacher: Secret Couple,AliensEcchiRomance,1,2002,OVA,Daume,0
11544,225,2085,Aru Machi Kado no Monogatari (Tales of the Street Corner),DramaMusicRomance,1,1962-1962,Movie,MushiProductions,Genji Monogatari,BasedonaNovelDramaFeudalJapanJoseiRomance,1,1987,Movie,GroupTAC,0
18577,225,3553,Aru Machi Kado no Monogatari (Tales of the Street Corner),DramaMusicRomance,1,1962-1962,Movie,MushiProductions,Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari,FantasyPersoninaStrangeWorld,3,1993 - 1994,OVA,,0
32533,236,6752,Fusha no Sha (To Shoot Without Shooting),AdventureHistoricalMartialArtsSamuraiSupernatural,1,1988-1988,Movie,ShanghaiAnimationFilmStudio,Fusha no Sha,ShortsStopMotionAnimation,1,1988,Movie,,1
16745,237,3143,Genji Monogatari,DramaHistoricalRomance,1,1987-1987,Movie,TVAsahiGroupTAC,Teito Monogatari,BasedonaNovelDemonsExplicitViolenceFantasyHorrorNudityPhysicalAbuseSexualAbuseSupernaturalSuperpowers,4,1991 - 1992,OVA,ToeiAnimation,0
15614,240,2858,Mori no Densetsu (Legend of the Forest),AdventureDramaFantasyMusic,1,1987-1987,Movie,TezukaProductions,Idol Densetsu Eriko,,51,1989 - 1990,TV,AshiProductions,0
24881,240,5245,Mori no Densetsu (Legend of the Forest),AdventureDramaFantasyMusic,1,1987-1987,Movie,TezukaProductions,Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3 Pun Dai Shingeki,,1,2005,Movie,ShineiAnimation,0
