id,ltable_ID,rtable_ID,predicted
18,1243,7,1
23,1247,10,1
27,1244,11,1
35,2,14,1
47,3,17,1
69,896,21,1
83,1248,24,1
105,1246,26,1
108,996,28,1
111,902,29,1
118,1257,30,1
159,1279,34,1
161,899,35,1
171,219,38,1
178,1249,40,1
242,1,43,1
248,6,46,1
276,1438,53,1
291,970,56,1
337,1370,63,1
348,470,65,1
351,436,66,1
360,895,67,1
498,442,69,1
500,129,70,1
510,1383,72,1
519,41,74,1
543,900,77,1
615,1011,78,1
684,26,80,1
728,2010,85,1
736,897,89,1
827,60,90,1
831,1218,92,1
833,29,93,1
836,1434,94,1
847,1444,95,1
850,1022,96,1
852,1639,97,1
857,1113,98,1
867,274,99,1
963,1104,101,1
999,2852,102,1
1003,2668,105,1
1009,2517,106,1
1024,2537,108,1
1035,1063,109,1
1062,1183,110,1
1098,1105,113,1
1100,204,117,1
1107,2505,120,1
1108,2757,122,1
1109,775,123,1
1111,1722,124,1
1120,3081,125,1
1121,826,127,1
1125,2344,129,1
1135,755,132,1
1179,1027,133,1
1241,2520,141,1
1327,2884,142,1
1347,1101,143,1
1361,2399,144,1
1363,2830,145,1
1368,2432,146,1
1372,263,147,1
1382,2419,151,1
1392,2856,153,1
1393,2145,155,1
1411,2665,158,1
1417,1168,160,1
1423,427,161,1
1474,1225,171,1
1477,302,172,1
1482,1015,175,1
1496,651,178,1
1506,1845,180,1
1548,1148,183,1
1558,799,185,1
1620,2198,188,1
1628,2549,193,1
1634,2628,194,1
1746,2918,197,1
1749,2013,198,1
1758,322,200,1
1761,2501,201,1
1967,1942,207,1
1975,2328,211,1
2021,1092,212,1
2051,2443,213,1
2068,309,219,1
2069,2629,220,1
2084,2874,221,1
2086,2906,223,1
2087,2719,224,1
2090,2900,226,1
2091,820,227,1
2092,2571,228,1
2098,2967,233,1
2179,2155,237,1
2213,999,238,1
2268,2694,239,1
2274,2411,240,1
2308,1193,245,1
2315,107,247,1
2319,749,249,1
2321,2312,251,1
2322,349,255,1
2346,725,258,1
2348,1144,259,1
2354,2593,260,1
2372,1994,264,1
2408,812,270,1
2440,2223,274,1
2446,2787,275,1
2452,414,280,1
2458,2456,281,1
2462,596,282,1
2491,272,284,1
2580,2599,286,1
2583,2031,287,1
2588,262,288,1
2592,772,289,1
2656,2462,295,1
2657,2237,296,1
2662,2618,299,1
2663,794,300,1
2664,279,301,1
2715,2635,304,1
2727,2927,310,1
2728,344,311,1
2734,2826,314,1
2745,626,316,1
2775,333,317,1
2784,2703,320,1
2796,2842,326,1
2846,1222,330,1
2858,2868,332,1
2860,1169,333,1
2865,363,335,1
2870,2099,336,1
2873,782,337,1
2877,1887,338,1
2880,2190,339,1
2881,1742,340,1
2883,251,341,1
2890,403,343,1
2993,2837,345,1
2996,3114,346,1
2998,1944,348,1
3003,3003,350,1
3028,1071,353,1
3042,2533,359,1
3104,2641,363,1
3107,685,366,1
3109,2663,368,1
3111,753,371,1
3122,2990,373,1
3128,1187,377,1
3170,312,381,1
3171,220,382,1
3181,733,384,1
3264,1192,385,1
3274,729,386,1
3284,2684,390,1
3289,2507,391,1
3293,2896,392,1
3294,2685,393,1
3305,145,396,1
3312,888,397,1
3335,412,399,1
3346,2481,402,1
3354,792,405,1
3428,2715,408,1
3449,2972,409,1
3462,848,412,1
3470,3073,413,1
3492,786,416,1
3656,1125,420,1
3682,2836,421,1
3683,785,422,1
3688,411,424,1
3695,801,425,1
3782,2114,429,1
3820,2407,432,1
3829,203,434,1
3836,307,437,1
3840,2608,439,1
3849,2886,440,1
3855,2636,444,1
3856,684,445,1
3946,1231,447,1
4005,1036,450,1
4166,2552,453,1
4167,330,454,1
4234,1164,455,1
4260,2804,456,1
4264,2245,459,1
4269,791,460,1
4274,777,461,1
4278,1067,462,1
4288,2872,463,1
4290,351,464,1
4291,244,465,1
4294,2192,468,1
4295,815,469,1
4299,3001,471,1
4301,1163,472,1
4309,3015,475,1
4310,770,476,1
4315,845,480,1
4323,2261,481,1
4342,1084,486,1
4351,217,488,1
4359,2924,491,1
4375,2999,493,1
4377,863,497,1
4551,1082,507,1
4700,710,509,1
4714,2538,510,1
4717,2648,511,1
4728,2652,513,1
4783,1216,515,1
4789,698,519,1
4794,176,522,1
4896,2811,529,1
4900,2128,530,1
4952,214,542,1
4956,2455,543,1
4958,840,544,1
4963,314,545,1
4967,709,549,1
4979,3025,552,1
4980,747,553,1
4989,260,556,1
5031,841,564,1
5168,1061,571,1
5184,2803,572,1
5383,367,576,1
5384,455,577,1
5400,1077,581,1
5405,1294,583,1
5437,1419,586,1
5444,34,590,1
5446,1052,591,1
5451,936,594,1
5455,21,595,1
5461,452,597,1
5468,44,599,1
5470,1365,601,1
5471,1507,602,1
5475,914,608,1
5477,441,609,1
5489,27,612,1
5492,1392,614,1
5502,1453,616,1
5510,1557,618,1
5611,1404,623,1
5622,1514,624,1
5625,2919,629,1
5626,3052,632,1
5627,2941,633,1
5628,752,634,1
5634,2152,636,1
5636,2671,638,1
5637,1211,640,1
5643,68,645,1
5669,2660,649,1
5680,2760,651,1
5683,2932,652,1
5685,855,653,1
5687,353,654,1
5723,2894,660,1
5741,865,663,1
5746,225,664,1
5803,2107,667,1
5805,2723,668,1
5830,2081,671,1
5836,1229,673,1
5847,299,675,1
5891,3022,676,1
5904,2794,679,1
5915,2761,680,1
5916,757,681,1
5919,1228,682,1
5920,298,683,1
5930,987,687,1
5946,2702,688,1
5954,668,690,1
5975,894,694,1
6068,1869,700,1
6074,1149,703,1
6273,2289,706,1
6280,198,709,1
6281,2265,710,1
6287,2857,711,1
6294,2658,713,1
6311,984,714,1
6353,2414,716,1
6359,2742,718,1
6392,1998,723,1
6417,2710,724,1
6428,2899,727,1
6445,2865,729,1
6448,3087,730,1
6453,355,734,1
6458,2828,737,1
6460,2812,739,1
6461,734,740,1
6465,1179,743,1
6513,1058,744,1
6557,2226,745,1
6560,817,748,1
6575,2447,752,1
6585,2323,755,1
6590,800,756,1
6595,2268,757,1
6596,809,758,1
6660,1097,759,1
6787,2827,761,1
6792,2873,764,1
6890,1778,766,1
6892,3128,767,1
6918,1940,769,1
6961,2371,773,1
6967,2197,775,1
7007,2858,778,1
7016,2478,780,1
7036,751,782,1
7043,2936,784,1
7044,822,785,1
7047,2871,788,1
7056,2220,791,1
7058,410,794,1
7062,1221,795,1
7064,2908,796,1
7072,2196,801,1
7152,1170,802,1
7176,2956,803,1
7284,728,805,1
7315,2832,811,1
7316,3129,812,1
7387,2968,815,1
7401,2959,819,1
7402,425,820,1
7520,405,827,1
7523,2937,828,1
7581,1100,829,1
7618,2823,831,1
7622,2767,832,1
7683,2047,839,1
7688,2925,840,1
7694,2910,842,1
7749,2869,847,1
7766,383,851,1
7769,2813,854,1
7779,811,856,1
7874,288,858,1
7939,763,862,1
7945,3048,865,1
7959,2698,867,1
7963,2470,870,1
7992,3089,874,1
8014,976,876,1
8083,3063,877,1
8101,2242,879,1
8135,3074,882,1
8282,1093,891,1
8295,2659,898,1
8303,985,900,1
8335,3007,907,1
8403,2338,912,1
8413,3142,913,1
8415,1107,914,1
8419,358,915,1
8424,669,917,1
8436,3018,920,1
8483,2779,923,1
8487,2755,926,1
8489,357,927,1
8500,3106,929,1
8510,2269,932,1
8513,2819,933,1
8529,2393,937,1
8531,325,938,1
8555,2503,944,1
8640,1880,945,1
8818,764,948,1
8854,837,951,1
8855,2893,952,1
8857,3011,954,1
8877,3019,955,1
8880,415,956,1
8885,2048,960,1
8899,2041,964,1
8909,737,967,1
8936,849,970,1
8938,2939,971,1
8940,839,972,1
8959,2809,975,1
8964,3032,976,1
8973,2867,978,1
8996,979,980,1
9071,306,981,1
9078,2950,984,1
9080,2439,986,1
9088,413,988,1
9091,2584,989,1
9097,2497,990,1
9098,2795,992,1
9101,2912,994,1
9102,3077,995,1
9110,2480,997,1
9120,2989,1000,1
9155,2529,1007,1
9160,2692,1009,1
9164,3110,1012,1
9165,2693,1014,1
9175,1205,1019,1
9183,3036,1020,1
9189,310,1024,1
9234,2542,1026,1
9255,402,1029,1
9304,831,1037,1
9318,465,1038,1
9347,2673,1045,1
9352,1484,1048,1
9412,423,1050,1
9414,404,1052,1
9419,2818,1056,1
9516,1189,1060,1
9527,3057,1061,1
9530,2709,1063,1
9531,354,1064,1
9571,1091,1066,1
9593,870,1067,1
9603,165,1068,1
9633,3109,1069,1
9640,880,1076,1
9665,2394,1080,1
9680,2914,1082,1
9683,816,1083,1
9686,2491,1084,1
9692,218,1087,1
9716,130,1091,1
9759,1013,1092,1
9908,254,1094,1
9918,1204,1095,1
9925,1151,1096,1
10001,2789,1099,1
10003,862,1100,1
10088,1237,1110,1
10102,1360,1112,1
10108,1340,1116,1
10122,1752,1120,1
10136,1471,1123,1
10144,1303,1125,1
10193,30,1131,1
10218,385,1137,1
10248,484,1140,1
10251,1356,1141,1
10266,1308,1143,1
10269,1339,1144,1
10277,32,1147,1
10278,1066,1149,1
10281,523,1152,1
10310,879,1156,1
10314,532,1160,1
10369,846,1162,1
10370,868,1163,1
10448,424,1170,1
10456,2790,1172,1
10459,2701,1173,1
10483,795,1183,1
10517,2721,1185,1
10522,352,1186,1
10539,1223,1187,1
10576,1001,1195,1
10583,2516,1197,1
10584,2609,1200,1
10587,3104,1202,1
10588,2802,1203,1
10591,1126,1207,1
10592,776,1208,1
10599,2840,1210,1
10602,417,1212,1
10611,396,1216,1
10614,2594,1219,1
10618,2907,1221,1
10626,1197,1223,1
10632,1232,1225,1
10633,2862,1227,1
10634,2913,1228,1
10671,2376,1232,1
10680,2985,1234,1
10685,887,1236,1
10770,872,1238,1
10772,2958,1240,1
10776,2508,1247,1
10786,956,1248,1
10808,2559,1250,1
10809,2543,1251,1
10813,409,1253,1
10822,807,1255,1
10825,3088,1258,1
10839,2174,1262,1
10896,2844,1269,1
10928,2859,1274,1
10929,348,1275,1
11102,2472,1284,1
11130,259,1289,1
11136,1041,1293,1
11153,2933,1296,1
11154,2189,1298,1
11155,2756,1299,1
11157,338,1300,1
11175,3014,1305,1
11188,834,1307,1
11195,3043,1309,1
11198,973,1310,1
11205,2691,1311,1
11207,3056,1313,1
11208,843,1314,1
11209,856,1315,1
11212,2203,1316,1
11214,2205,1317,1
11404,1173,1320,1
11433,3040,1325,1
11448,2839,1329,1
11455,866,1331,1
11510,1139,1336,1
11527,276,1338,1
11587,1207,1347,1
11623,1142,1348,1
11627,804,1351,1
11628,2677,1353,1
11681,2578,1356,1
11688,2716,1358,1
11694,2302,1359,1
11697,1134,1361,1
11700,3023,1363,1
11721,1861,1373,1
11733,1583,1377,1
11739,823,1381,1
11757,2821,1384,1
11782,296,1386,1
11803,1604,1391,1
11805,656,1392,1
11858,3118,1395,1
11859,2774,1396,1
11861,2917,1397,1
11862,281,1398,1
11896,760,1402,1
11939,340,1407,1
12019,195,1410,1
12024,341,1413,1
12031,821,1416,1
12035,2984,1417,1
12036,3082,1418,1
12037,824,1419,1
12048,788,1423,1
12062,2638,1424,1
12072,3012,1428,1
12082,2577,1430,1
12094,2551,1433,1
12095,422,1434,1
12096,3080,1435,1
12097,2996,1436,1
12099,494,1441,1
12106,2861,1442,1
12111,2627,1443,1
12114,2340,1445,1
12200,1235,1451,1
12210,720,1453,1
12222,1122,1455,1
12235,2553,1458,1
12245,884,1462,1
12250,793,1464,1
12283,810,1466,1
12287,3066,1470,1
12289,2314,1472,1
12291,1897,1474,1
12293,2728,1476,1
12296,2550,1478,1
12302,2740,1484,1
12512,808,1489,1
12514,2305,1492,1
12517,819,1493,1
12519,2814,1495,1
12680,2486,1504,1
12700,2637,1505,1
12714,2769,1507,1
12726,2118,1509,1
12735,988,1511,1
12795,2768,1518,1
12822,829,1522,1
12861,2530,1531,1
12894,2639,1540,1
12967,1103,1543,1
13007,825,1547,1
13008,2973,1548,1
13014,2582,1550,1
13063,1133,1552,1
13175,2293,1554,1
13177,1234,1557,1
13208,2348,1564,1
13212,3130,1565,1
13217,408,1567,1
13268,365,1571,1
13274,3021,1575,1
13278,878,1579,1
13286,3065,1581,1
13287,175,1582,1
13298,246,1583,1
13346,487,1591,1
13376,1570,1593,1
13391,2588,1595,1
13393,62,1597,1
13413,877,1602,1
13423,2888,1605,1
13435,2287,1607,1
13439,2704,1608,1
13451,2920,1612,1
13539,2441,1615,1
13561,243,1618,1
13587,964,1624,1
13590,1420,1625,1
13594,1735,1627,1
13604,2482,1630,1
13613,2713,1631,1
13614,370,1632,1
13618,372,1634,1
13672,982,1643,1
13712,1389,1644,1
13748,898,1648,1
13754,1515,1650,1
13858,429,1652,1
13862,1711,1653,1
13863,1324,1654,1
13872,1430,1657,1
13886,1503,1659,1
13892,509,1660,1
13895,42,1661,1
13900,1473,1662,1
13932,458,1668,1
13936,435,1670,1
13976,1469,1677,1
13980,1522,1678,1
13981,1535,1679,1
14047,575,1687,1
14147,2227,1691,1
14149,854,1693,1
14154,3020,1697,1
14241,2977,1700,1
14248,609,1701,1
14292,2322,1704,1
14396,2105,1710,1
14407,889,1717,1
14415,2979,1719,1
14424,2929,1723,1
14456,940,1731,1
14536,3138,1733,1
14553,2940,1737,1
14570,2995,1740,1
14620,1198,1745,1
14655,158,1749,1
14677,3136,1751,1
14753,1165,1752,1
14868,2926,1754,1
14951,497,1756,1
14956,2978,1757,1
14964,2883,1759,1
14966,1203,1761,1
14991,885,1768,1
14999,3055,1771,1
15137,2513,1782,1
15143,828,1783,1
15167,2911,1787,1
15168,2727,1788,1
15173,765,1790,1
15204,2623,1795,1
15207,796,1797,1
15211,2963,1798,1
15215,2490,1801,1
15237,3030,1807,1
15288,1182,1811,1
15442,1783,1816,1
15567,1774,1819,1
15633,2433,1825,1
15638,226,1827,1
15639,2841,1828,1
15650,883,1833,1
15658,1078,1838,1
15666,2604,1840,1
15667,2922,1841,1
15711,2960,1847,1
15714,2901,1850,1
15715,2750,1851,1
15724,881,1853,1
15729,1660,1858,1
15840,111,1865,1
15877,3031,1871,1
15893,802,1872,1
15920,2944,1876,1
15921,2875,1877,1
16028,1906,1892,1
16034,2562,1895,1
16054,2115,1904,1
16065,3105,1909,1
16140,2965,1912,1
16142,2643,1915,1
16158,2992,1920,1
16161,2560,1924,1
16174,361,1930,1
16187,2335,1934,1
16195,3058,1935,1
16391,858,1950,1
16395,3010,1952,1
16403,2211,1954,1
16407,286,1958,1
16426,876,1964,1
16444,2758,1969,1
16458,781,1974,1
16494,1631,1978,1
16498,1558,1980,1
16525,2845,1983,1
16528,2817,1986,1
16557,892,1997,1
16575,346,2005,1
16651,1152,2011,1
16760,2271,2012,1
16777,2534,2018,1
16778,1442,2019,1
16779,2469,2020,1
16784,2282,2022,1
16787,2838,2023,1
16895,2998,2029,1
16896,890,2030,1
16963,1728,2033,1
16996,2876,2036,1
17051,3103,2042,1
17060,2576,2045,1
17078,3038,2053,1
17080,2881,2054,1
17090,873,2057,1
17101,369,2060,1
17129,869,2066,1
17170,2988,2070,1
17171,2502,2071,1
17225,2753,2074,1
17231,2383,2077,1
17234,2711,2078,1
17241,2400,2081,1
17247,133,2083,1
17254,2366,2084,1
17260,237,2085,1
17370,359,2089,1
17487,704,2098,1
17655,421,2106,1
17797,1172,2116,1
17819,3091,2120,1
17947,2834,2130,1
17964,2417,2134,1
17991,2810,2136,1
17993,867,2137,1
17994,2749,2138,1
18014,1146,2142,1
18025,2539,2147,1
18040,3127,2154,1
18065,2436,2155,1
18146,493,2165,1
18201,1433,2168,1
18216,1004,2170,1
18237,1285,2174,1
18238,376,2175,1
18240,468,2176,1
18263,1590,2180,1
18270,1018,2184,1
18285,55,2186,1
18315,1490,2190,1
18365,1474,2195,1
18366,49,2196,1
18382,483,2200,1
18397,542,2203,1
18456,3008,2209,1
18519,2632,2214,1
18614,2246,2222,1
18616,3075,2223,1
18617,1129,2224,1
18631,2479,2226,1
18641,2747,2231,1
18644,891,2232,1
18705,886,2236,1
18753,762,2240,1
18817,2106,2241,1
18846,3026,2251,1
18847,3059,2252,1
18924,2137,2264,1
18937,2509,2266,1
18942,3120,2268,1
18957,2429,2271,1
18997,2367,2279,1
18999,1008,2280,1
19019,362,2284,1
19197,1178,2290,1
19246,3034,2298,1
19248,3085,2301,1
19282,986,2302,1
19427,2949,2308,1
19434,3016,2313,1
19528,2612,2319,1
19682,1212,2330,1
19729,3139,2335,1
19735,2626,2338,1
19737,2982,2339,1
19762,3117,2341,1
19856,1238,2346,1
19872,838,2348,1
19875,1270,2349,1
19926,2784,2351,1
19932,2548,2353,1
19936,444,2357,1
19953,3024,2362,1
19956,1195,2364,1
20072,2640,2373,1
20161,1194,2375,1
20202,3122,2378,1
20210,2782,2379,1
20232,1190,2385,1
20299,2938,2391,1
20307,3070,2396,1
20315,2969,2397,1
20317,58,2400,1
20372,2775,2415,1
20450,3141,2431,1
20456,2974,2434,1
20459,2504,2436,1
20468,2891,2437,1
20478,2661,2442,1
20491,2835,2447,1
20495,882,2450,1
20593,3121,2451,1
20662,2864,2471,1
20782,2459,2477,1
20859,2890,2479,1
20966,2824,2484,1
20993,2892,2487,1
21073,2461,2490,1
21113,3134,2498,1
21228,2997,2526,1
21292,2807,2554,1
21471,1214,2561,1
21478,2531,2566,1
21529,2946,2581,1
21540,3071,2590,1
21573,1196,2605,1
21611,3115,2613,1
21700,2801,2616,1
21714,3068,2619,1
21725,2734,2624,1
21745,431,2633,1
21821,2930,2639,1
21856,2556,2655,1
21884,2428,2660,1
21896,2722,2665,1
21900,2952,2669,1
21968,3039,2673,1
22060,1435,2689,1
22092,1505,2691,1
22099,1530,2692,1
22104,120,2693,1
22110,1349,2694,1
22111,913,2695,1
22118,1424,2697,1
22120,1485,2698,1
22121,1369,2699,1
22126,1413,2700,1
22128,47,2701,1
22165,1348,2707,1
22178,1552,2710,1
22187,1492,2713,1
22195,1614,2715,1
22207,1378,2717,1
22213,1483,2719,1
22224,1421,2726,1
22226,31,2727,1
22245,922,2731,1
22314,677,2734,1
22321,450,2736,1
22333,305,2738,1
22432,2397,2749,1
22530,2130,2756,1
22533,40,2761,1
22591,2943,2771,1
22593,2754,2772,1
22599,2487,2775,1
22879,3131,2797,1
22886,2853,2802,1
22890,2610,2805,1
22970,1627,2817,1
22974,2771,2819,1
23037,2498,2825,1
23045,3069,2826,1
23102,3125,2838,1
23127,2831,2842,1
23139,2791,2844,1
23191,1156,2853,1
23194,2954,2857,1
23213,2655,2858,1
23231,197,2861,1
23375,2634,2872,1
23386,3099,2883,1
23390,1775,2886,1
23458,1072,2894,1
23470,2653,2897,1
23474,2457,2899,1
23515,3049,2902,1
23578,268,2914,1
23600,2986,2923,1
23659,2895,2928,1
23661,3137,2930,1
23668,1791,2931,1
23773,2181,2940,1
23788,2773,2948,1
23892,3084,2954,1
24069,1047,2974,1
24122,1910,2976,1
24134,3072,2977,1
24166,859,2986,1
24220,3028,2996,1
24239,1224,3000,1
24258,860,3001,1
24280,3124,3005,1
24302,2882,3007,1
24375,356,3016,1
24395,420,3023,1
24435,2805,3029,1
24438,875,3030,1
24445,3112,3032,1
24512,277,3052,1
24547,2849,3059,1
24583,2615,3068,1
24596,2587,3077,1
24683,2741,3098,1
24773,2855,3120,1
24788,2947,3126,1
24956,2915,3140,1
25023,3044,3147,1
