"id","ltable_ID","rtable_ID","predicted"
"18","1243","7","1"
"23","1247","10","1"
"25","1253","10","1"
"27","1244","11","1"
"35","2","14","1"
"47","3","17","1"
"56","3","18","1"
"65","1247","19","1"
"67","1253","19","1"
"68","1247","20","1"
"69","896","21","1"
"72","1260","21","1"
"83","1248","24","1"
"105","1246","26","1"
"106","1246","27","1"
"108","996","28","1"
"111","902","29","1"
"114","1264","29","1"
"118","1257","30","1"
"123","1257","31","1"
"158","1253","33","1"
"159","1279","34","1"
"161","899","35","1"
"162","1279","35","1"
"171","219","38","1"
"178","1249","40","1"
"182","1249","41","1"
"242","1","43","1"
"243","1","44","1"
"248","6","46","1"
"276","1438","53","1"
"282","1438","54","1"
"291","970","56","1"
"292","1055","56","1"
"293","1110","56","1"
"294","1428","56","1"
"337","1370","63","1"
"345","1370","64","1"
"348","470","65","1"
"350","1426","65","1"
"351","436","66","1"
"352","1329","66","1"
"353","1398","66","1"
"360","895","67","1"
"421","895","68","1"
"498","442","69","1"
"500","129","70","1"
"510","1383","72","1"
"511","1427","72","1"
"517","1383","73","1"
"518","1427","73","1"
"519","41","74","1"
"543","900","77","1"
"584","900","78","1"
"615","1011","78","1"
"629","1055","78","1"
"641","1110","78","1"
"671","1337","78","1"
"684","26","80","1"
"728","2010","85","1"
"736","897","89","1"
"740","904","89","1"
"806","1147","89","1"
"826","1307","89","1"
"827","60","90","1"
"829","60","91","1"
"831","1218","92","1"
"832","1667","92","1"
"833","29","93","1"
"836","1434","94","1"
"847","1444","95","1"
"850","1022","96","1"
"851","1390","96","1"
"852","1639","97","1"
"857","1113","98","1"
"858","1114","98","1"
"860","1960","98","1"
"867","274","99","1"
"895","274","100","1"
"963","1104","101","1"
"998","2614","101","1"
"999","2852","102","1"
"1003","2668","105","1"
"1009","2517","106","1"
"1015","2517","107","1"
"1024","2537","108","1"
"1035","1063","109","1"
"1055","2537","109","1"
"1062","1183","110","1"
"1098","1105","113","1"
"1100","204","117","1"
"1101","1063","118","1"
"1102","2537","118","1"
"1104","1063","119","1"
"1105","2537","119","1"
"1107","2505","120","1"
"1108","2757","122","1"
"1109","775","123","1"
"1111","1722","124","1"
"1120","3081","125","1"
"1121","826","127","1"
"1123","826","128","1"
"1125","2344","129","1"
"1126","2363","129","1"
"1130","2344","130","1"
"1133","2344","131","1"
"1135","755","132","1"
"1137","2854","132","1"
"1179","1027","133","1"
"1241","2520","141","1"
"1327","2884","142","1"
"1347","1101","143","1"
"1348","1108","143","1"
"1352","1123","143","1"
"1361","2399","144","1"
"1363","2830","145","1"
"1368","2432","146","1"
"1372","263","147","1"
"1382","2419","151","1"
"1388","2419","152","1"
"1392","2856","153","1"
"1393","2145","155","1"
"1411","2665","158","1"
"1415","2665","159","1"
"1417","1168","160","1"
"1420","2515","160","1"
"1421","2665","160","1"
"1423","427","161","1"
"1426","427","162","1"
"1474","1225","171","1"
"1476","2942","171","1"
"1477","302","172","1"
"1481","2591","172","1"
"1482","1015","175","1"
"1483","1201","175","1"
"1484","1736","175","1"
"1496","651","178","1"
"1498","2670","178","1"
"1501","2670","179","1"
"1506","1845","180","1"
"1548","1148","183","1"
"1558","799","185","1"
"1620","2198","188","1"
"1628","2549","193","1"
"1634","2628","194","1"
"1637","2628","195","1"
"1746","2918","197","1"
"1749","2013","198","1"
"1755","2013","199","1"
"1758","322","200","1"
"1761","2501","201","1"
"1762","2501","202","1"
"1967","1942","207","1"
"1975","2328","211","1"
"2021","1092","212","1"
"2048","2697","212","1"
"2051","2443","213","1"
"2057","2443","214","1"
"2068","309","219","1"
"2069","2629","220","1"
"2084","2874","221","1"
"2085","2874","222","1"
"2086","2906","223","1"
"2087","2719","224","1"
"2090","2900","226","1"
"2091","820","227","1"
"2092","2571","228","1"
"2098","2967","233","1"
"2101","2967","234","1"
"2179","2155","237","1"
"2213","999","238","1"
"2266","2155","238","1"
"2268","2694","239","1"
"2274","2411","240","1"
"2287","2411","243","1"
"2295","2411","244","1"
"2308","1193","245","1"
"2315","107","247","1"
"2318","2110","247","1"
"2319","749","249","1"
"2321","2312","251","1"
"2322","349","255","1"
"2346","725","258","1"
"2348","1144","259","1"
"2349","2798","259","1"
"2354","2593","260","1"
"2372","1994","264","1"
"2408","812","270","1"
"2415","812","271","1"
"2431","812","273","1"
"2440","2223","274","1"
"2446","2787","275","1"
"2449","2787","276","1"
"2452","414","280","1"
"2458","2456","281","1"
"2462","596","282","1"
"2465","967","282","1"
"2475","1240","282","1"
"2491","272","284","1"
"2492","272","285","1"
"2580","2599","286","1"
"2583","2031","287","1"
"2588","262","288","1"
"2592","772","289","1"
"2656","2462","295","1"
"2657","2237","296","1"
"2660","2237","298","1"
"2662","2618","299","1"
"2663","794","300","1"
"2664","279","301","1"
"2715","2635","304","1"
"2727","2927","310","1"
"2728","344","311","1"
"2734","2826","314","1"
"2745","626","316","1"
"2766","2330","316","1"
"2775","333","317","1"
"2784","2703","320","1"
"2785","2703","321","1"
"2796","2842","326","1"
"2798","2842","327","1"
"2846","1222","330","1"
"2848","2909","330","1"
"2858","2868","332","1"
"2860","1169","333","1"
"2861","2666","333","1"
"2863","2666","334","1"
"2865","363","335","1"
"2870","2099","336","1"
"2873","782","337","1"
"2877","1887","338","1"
"2880","2190","339","1"
"2881","1742","340","1"
"2883","251","341","1"
"2887","251","342","1"
"2890","403","343","1"
"2980","1208","343","1"
"2986","1587","343","1"
"2993","2837","345","1"
"2996","3114","346","1"
"2998","1944","348","1"
"3000","1944","349","1"
"3003","3003","350","1"
"3007","3003","351","1"
"3028","1071","353","1"
"3042","2533","359","1"
"3104","2641","363","1"
"3106","2641","365","1"
"3107","685","366","1"
"3108","685","367","1"
"3109","2663","368","1"
"3111","753","371","1"
"3122","2990","373","1"
"3128","1187","377","1"
"3131","2866","377","1"
"3170","312","381","1"
"3171","220","382","1"
"3173","1731","382","1"
"3176","220","383","1"
"3181","733","384","1"
"3184","1166","384","1"
"3264","1192","385","1"
"3269","2313","385","1"
"3274","729","386","1"
"3284","2684","390","1"
"3289","2507","391","1"
"3293","2896","392","1"
"3294","2685","393","1"
"3296","2685","394","1"
"3305","145","396","1"
"3307","687","396","1"
"3309","2180","396","1"
"3312","888","397","1"
"3335","412","399","1"
"3346","2481","402","1"
"3354","792","405","1"
"3428","2715","408","1"
"3449","2972","409","1"
"3454","2972","410","1"
"3456","2972","411","1"
"3462","848","412","1"
"3470","3073","413","1"
"3492","786","416","1"
"3656","1125","420","1"
"3682","2836","421","1"
"3683","785","422","1"
"3685","2730","422","1"
"3686","2962","422","1"
"3688","411","424","1"
"3695","801","425","1"
"3700","801","426","1"
"3764","302","428","1"
"3770","2591","428","1"
"3775","302","429","1"
"3782","2114","429","1"
"3820","2407","432","1"
"3821","2442","432","1"
"3829","203","434","1"
"3832","313","434","1"
"3836","307","437","1"
"3840","2608","439","1"
"3849","2886","440","1"
"3855","2636","444","1"
"3856","684","445","1"
"3857","1127","445","1"
"3865","684","446","1"
"3920","1127","446","1"
"3946","1231","447","1"
"3947","2392","447","1"
"4005","1036","450","1"
"4061","2605","450","1"
"4111","1036","451","1"
"4161","2605","451","1"
"4166","2552","453","1"
"4167","330","454","1"
"4234","1164","455","1"
"4260","2804","456","1"
"4264","2245","459","1"
"4265","2776","459","1"
"4269","791","460","1"
"4271","2510","460","1"
"4274","777","461","1"
"4276","2360","461","1"
"4278","1067","462","1"
"4288","2872","463","1"
"4290","351","464","1"
"4291","244","465","1"
"4294","2192","468","1"
"4295","815","469","1"
"4296","2966","469","1"
"4297","815","470","1"
"4298","2966","470","1"
"4299","3001","471","1"
"4301","1163","472","1"
"4302","3001","472","1"
"4309","3015","475","1"
"4310","770","476","1"
"4311","3015","476","1"
"4315","845","480","1"
"4323","2261","481","1"
"4327","2261","482","1"
"4335","2261","483","1"
"4342","1084","486","1"
"4348","2173","486","1"
"4349","2404","486","1"
"4351","217","488","1"
"4356","2697","489","1"
"4357","1092","490","1"
"4358","2697","490","1"
"4359","2924","491","1"
"4375","2999","493","1"
"4376","2999","494","1"
"4377","863","497","1"
"4551","1082","507","1"
"4700","710","509","1"
"4701","1028","509","1"
"4708","1683","509","1"
"4712","1125","510","1"
"4714","2538","510","1"
"4715","2597","510","1"
"4717","2648","511","1"
"4728","2652","513","1"
"4783","1216","515","1"
"4784","2606","515","1"
"4786","2606","516","1"
"4789","698","519","1"
"4792","698","520","1"
"4794","176","522","1"
"4890","2515","528","1"
"4896","2811","529","1"
"4900","2128","530","1"
"4952","214","542","1"
"4955","1934","542","1"
"4956","2455","543","1"
"4958","840","544","1"
"4962","2455","544","1"
"4963","314","545","1"
"4967","709","549","1"
"4968","2521","549","1"
"4969","2751","549","1"
"4979","3025","552","1"
"4980","747","553","1"
"4989","260","556","1"
"4996","2651","556","1"
"5031","841","564","1"
"5033","841","565","1"
"5065","1168","568","1"
"5071","2665","568","1"
"5128","2665","569","1"
"5168","1061","571","1"
"5182","2724","571","1"
"5184","2803","572","1"
"5194","904","573","1"
"5262","1147","573","1"
"5383","367","576","1"
"5384","455","577","1"
"5400","1077","581","1"
"5405","1294","583","1"
"5437","1419","586","1"
"5440","1419","587","1"
"5444","34","590","1"
"5446","1052","591","1"
"5447","1306","591","1"
"5451","936","594","1"
"5452","1347","594","1"
"5454","1414","594","1"
"5455","21","595","1"
"5461","452","597","1"
"5463","1007","597","1"
"5468","44","599","1"
"5469","44","600","1"
"5470","1365","601","1"
"5471","1507","602","1"
"5475","914","608","1"
"5476","1358","608","1"
"5477","441","609","1"
"5489","27","612","1"
"5491","27","613","1"
"5492","1392","614","1"
"5494","1392","615","1"
"5502","1453","616","1"
"5507","1453","617","1"
"5510","1557","618","1"
"5512","1557","619","1"
"5611","1404","623","1"
"5614","1925","623","1"
"5622","1514","624","1"
"5623","367","625","1"
"5625","2919","629","1"
"5626","3052","632","1"
"5627","2941","633","1"
"5628","752","634","1"
"5634","2152","636","1"
"5636","2671","638","1"
"5637","1211","640","1"
"5643","68","645","1"
"5669","2660","649","1"
"5680","2760","651","1"
"5683","2932","652","1"
"5685","855","653","1"
"5687","353","654","1"
"5688","353","655","1"
"5699","2245","656","1"
"5723","2894","660","1"
"5725","3051","660","1"
"5734","3051","661","1"
"5741","865","663","1"
"5746","225","664","1"
"5789","225","665","1"
"5803","2107","667","1"
"5805","2723","668","1"
"5830","2081","671","1"
"5833","2696","671","1"
"5836","1229","673","1"
"5847","299","675","1"
"5874","2496","675","1"
"5891","3022","676","1"
"5902","3022","677","1"
"5904","2794","679","1"
"5915","2761","680","1"
"5916","757","681","1"
"5919","1228","682","1"
"5920","298","683","1"
"5930","987","687","1"
"5934","1135","687","1"
"5939","1744","687","1"
"5946","2702","688","1"
"5954","668","690","1"
"5975","894","694","1"
"5996","1202","694","1"
"6068","1869","700","1"
"6074","1149","703","1"
"6075","2060","703","1"
"6273","2289","706","1"
"6280","198","709","1"
"6281","2265","710","1"
"6283","2389","710","1"
"6287","2857","711","1"
"6294","2658","713","1"
"6311","984","714","1"
"6329","1144","714","1"
"6343","2798","714","1"
"6349","2927","715","1"
"6353","2414","716","1"
"6358","2414","717","1"
"6359","2742","718","1"
"6392","1998","723","1"
"6417","2710","724","1"
"6428","2899","727","1"
"6430","2899","728","1"
"6445","2865","729","1"
"6448","3087","730","1"
"6450","2884","731","1"
"6451","2884","732","1"
"6453","355","734","1"
"6454","355","735","1"
"6458","2828","737","1"
"6459","2828","738","1"
"6460","2812","739","1"
"6461","734","740","1"
"6465","1179","743","1"
"6466","2385","743","1"
"6513","1058","744","1"
"6516","1082","744","1"
"6519","1094","744","1"
"6521","1104","744","1"
"6533","1153","744","1"
"6555","2067","744","1"
"6557","2226","745","1"
"6560","817","748","1"
"6563","817","749","1"
"6564","203","750","1"
"6567","313","750","1"
"6571","2608","751","1"
"6575","2447","752","1"
"6585","2323","755","1"
"6590","800","756","1"
"6595","2268","757","1"
"6596","809","758","1"
"6597","844","758","1"
"6598","1040","758","1"
"6660","1097","759","1"
"6703","904","760","1"
"6787","2827","761","1"
"6790","2827","762","1"
"6792","2873","764","1"
"6795","2873","765","1"
"6890","1778","766","1"
"6892","3128","767","1"
"6918","1940","769","1"
"6961","2371","773","1"
"6967","2197","775","1"
"7007","2858","778","1"
"7016","2478","780","1"
"7036","751","782","1"
"7043","2936","784","1"
"7044","822","785","1"
"7045","822","786","1"
"7047","2871","788","1"
"7056","2220","791","1"
"7057","2220","792","1"
"7058","410","794","1"
"7062","1221","795","1"
"7063","1937","795","1"
"7064","2908","796","1"
"7069","2908","797","1"
"7072","2196","801","1"
"7152","1170","802","1"
"7176","2956","803","1"
"7284","728","805","1"
"7315","2832","811","1"
"7316","3129","812","1"
"7340","1731","813","1"
"7387","2968","815","1"
"7390","2968","816","1"
"7401","2959","819","1"
"7402","425","820","1"
"7498","1169","824","1"
"7515","2666","824","1"
"7520","405","827","1"
"7521","1095","827","1"
"7522","1567","827","1"
"7523","2937","828","1"
"7581","1100","829","1"
"7585","1115","829","1"
"7618","2823","831","1"
"7622","2767","832","1"
"7650","2767","833","1"
"7683","2047","839","1"
"7688","2925","840","1"
"7694","2910","842","1"
"7749","2869","847","1"
"7750","785","848","1"
"7752","2730","848","1"
"7753","2962","848","1"
"7766","383","851","1"
"7769","2813","854","1"
"7776","2813","855","1"
"7779","811","856","1"
"7861","1226","856","1"
"7874","288","858","1"
"7880","288","859","1"
"7888","2723","860","1"
"7939","763","862","1"
"7941","3015","863","1"
"7943","770","864","1"
"7944","3015","864","1"
"7945","3048","865","1"
"7959","2698","867","1"
"7963","2470","870","1"
"7992","3089","874","1"
"8014","976","876","1"
"8063","1147","876","1"
"8082","2184","876","1"
"8083","3063","877","1"
"8101","2242","879","1"
"8135","3074","882","1"
"8136","3074","883","1"
"8282","1093","891","1"
"8295","2659","898","1"
"8298","2659","899","1"
"8303","985","900","1"
"8309","1174","900","1"
"8313","1758","900","1"
"8321","811","903","1"
"8322","1226","903","1"
"8335","3007","907","1"
"8403","2338","912","1"
"8413","3142","913","1"
"8415","1107","914","1"
"8419","358","915","1"
"8420","358","916","1"
"8424","669","917","1"
"8427","1065","917","1"
"8436","3018","920","1"
"8483","2779","923","1"
"8485","2779","924","1"
"8487","2755","926","1"
"8489","357","927","1"
"8500","3106","929","1"
"8510","2269","932","1"
"8513","2819","933","1"
"8515","2819","934","1"
"8529","2393","937","1"
"8531","325","938","1"
"8534","325","939","1"
"8549","840","942","1"
"8552","840","943","1"
"8555","2503","944","1"
"8640","1880","945","1"
"8818","764","948","1"
"8854","837","951","1"
"8855","2893","952","1"
"8857","3011","954","1"
"8877","3019","955","1"
"8880","415","956","1"
"8885","2048","960","1"
"8886","2048","961","1"
"8899","2041","964","1"
"8900","2041","965","1"
"8909","737","967","1"
"8930","737","969","1"
"8936","849","970","1"
"8938","2939","971","1"
"8940","839","972","1"
"8959","2809","975","1"
"8964","3032","976","1"
"8973","2867","978","1"
"8974","2867","979","1"
"8996","979","980","1"
"9007","1005","980","1"
"9013","1025","980","1"
"9016","1029","980","1"
"9042","1125","980","1"
"9068","2538","980","1"
"9069","2597","980","1"
"9071","306","981","1"
"9072","306","982","1"
"9078","2950","984","1"
"9080","2439","986","1"
"9081","2770","986","1"
"9088","413","988","1"
"9091","2584","989","1"
"9097","2497","990","1"
"9098","2795","992","1"
"9101","2912","994","1"
"9102","3077","995","1"
"9110","2480","997","1"
"9120","2989","1000","1"
"9155","2529","1007","1"
"9160","2692","1009","1"
"9164","3110","1012","1"
"9165","2693","1014","1"
"9175","1205","1019","1"
"9178","2244","1019","1"
"9183","3036","1020","1"
"9189","310","1024","1"
"9193","310","1025","1"
"9234","2542","1026","1"
"9246","2542","1027","1"
"9255","402","1029","1"
"9279","1230","1029","1"
"9283","2894","1033","1"
"9290","2894","1034","1"
"9301","3051","1035","1"
"9304","831","1037","1"
"9308","1083","1037","1"
"9318","465","1038","1"
"9319","831","1038","1"
"9323","1083","1038","1"
"9331","1269","1038","1"
"9344","402","1044","1"
"9345","1230","1044","1"
"9347","2673","1045","1"
"9348","2673","1046","1"
"9352","1484","1048","1"
"9412","423","1050","1"
"9414","404","1052","1"
"9419","2818","1056","1"
"9476","1027","1060","1"
"9516","1189","1060","1"
"9524","2256","1060","1"
"9527","3057","1061","1"
"9528","3057","1062","1"
"9530","2709","1063","1"
"9531","354","1064","1"
"9532","354","1065","1"
"9571","1091","1066","1"
"9578","1187","1066","1"
"9590","2866","1066","1"
"9593","870","1067","1"
"9603","165","1068","1"
"9611","870","1068","1"
"9633","3109","1069","1"
"9634","3109","1070","1"
"9635","815","1071","1"
"9636","2966","1071","1"
"9637","815","1072","1"
"9638","2966","1072","1"
"9640","880","1076","1"
"9665","2394","1080","1"
"9673","2394","1081","1"
"9680","2914","1082","1"
"9683","816","1083","1"
"9686","2491","1084","1"
"9690","2491","1085","1"
"9692","218","1087","1"
"9711","1225","1088","1"
"9715","2942","1088","1"
"9716","130","1091","1"
"9717","3045","1091","1"
"9759","1013","1092","1"
"9781","1100","1092","1"
"9806","1184","1092","1"
"9810","1199","1092","1"
"9891","1184","1093","1"
"9908","254","1094","1"
"9918","1204","1095","1"
"9920","2735","1095","1"
"9925","1151","1096","1"
"9929","1916","1096","1"
"9943","1916","1097","1"
"10001","2789","1099","1"
"10003","862","1100","1"
"10004","862","1101","1"
"10007","1514","1105","1"
"10058","987","1110","1"
"10088","1237","1110","1"
"10090","1262","1110","1"
"10102","1360","1112","1"
"10108","1340","1116","1"
"10122","1752","1120","1"
"10136","1471","1123","1"
"10144","1303","1125","1"
"10193","30","1131","1"
"10209","436","1134","1"
"10210","1329","1134","1"
"10211","1398","1134","1"
"10218","385","1137","1"
"10248","484","1140","1"
"10251","1356","1141","1"
"10266","1308","1143","1"
"10269","1339","1144","1"
"10273","1246","1145","1"
"10277","32","1147","1"
"10278","1066","1149","1"
"10279","1302","1149","1"
"10281","523","1152","1"
"10285","1440","1152","1"
"10310","879","1156","1"
"10314","532","1160","1"
"10369","846","1162","1"
"10370","868","1163","1"
"10448","424","1170","1"
"10453","424","1171","1"
"10456","2790","1172","1"
"10459","2701","1173","1"
"10483","795","1183","1"
"10517","2721","1185","1"
"10522","352","1186","1"
"10539","1223","1187","1"
"10576","1001","1195","1"
"10578","1657","1195","1"
"10581","1001","1196","1"
"10582","1657","1196","1"
"10583","2516","1197","1"
"10584","2609","1200","1"
"10587","3104","1202","1"
"10588","2802","1203","1"
"10591","1126","1207","1"
"10592","776","1208","1"
"10596","776","1209","1"
"10599","2840","1210","1"
"10602","417","1212","1"
"10611","396","1216","1"
"10614","2594","1219","1"
"10618","2907","1221","1"
"10621","2907","1222","1"
"10626","1197","1223","1"
"10632","1232","1225","1"
"10633","2862","1227","1"
"10634","2913","1228","1"
"10671","2376","1232","1"
"10680","2985","1234","1"
"10685","887","1236","1"
"10770","872","1238","1"
"10772","2958","1240","1"
"10776","2508","1247","1"
"10780","894","1248","1"
"10786","956","1248","1"
"10799","1176","1248","1"
"10802","1202","1248","1"
"10808","2559","1250","1"
"10809","2543","1251","1"
"10813","409","1253","1"
"10822","807","1255","1"
"10825","3088","1258","1"
"10831","1184","1260","1"
"10839","2174","1262","1"
"10841","2174","1263","1"
