_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres_Merged,ltable_Episodes,ltable_Year,ltable_Type,ltable_ProductionHouse_Merged,rtable_Title,rtable_Genres_Merged,rtable_Episodes,rtable_Year,rtable_Type,rtable_ProductionHouse_Merged
26,560,11,Hunter x Hunter Pilot,ActionAdventureShounenSuperPower,1,1998-1998,OVA,StudioPierrot,Hunter x Hunter (2011),ActionAdventureBasedonaMangaShounenSuperpowersViolence,148,2011 - 2014,TV,MADHOUSE
58,377,18,Suzumiya Haruhi-chan no Yuuutsu,ComedyParody,25,2009-2009,ONA,KyotoAnimationFUNimationEntertainmentKadokawaShotenBandaiEntertainment,The Disappearance of Haruhi Suzumiya,DramaPsychologicalSciFiTimeTravel,1,2010,Movie,KyotoAnimation
80,831,24,Haikyuu!! Quest Picture Drama,ComedyFantasyGameShounen,3,2014-2014,OVA,ProductionI.GBandaiNamcoGames,Haikyuu!! Second Season,BasedonaMangaSchoolClubSchoolLifeSports,2+,2015 - ?,TV,ProductionI.G
275,377,53,Suzumiya Haruhi-chan no Yuuutsu,ComedyParody,25,2009-2009,ONA,KyotoAnimationFUNimationEntertainmentKadokawaShotenBandaiEntertainment,The Melancholy of Haruhi Suzumiya,BasedonaLightNovelComedySchoolClubSchoolLife,14,2006,TV,KyotoAnimation
307,1417,58,Ookiku Furikabutte (Big Windup!),ComedySports,25,2007-2007,TV,AniplexA-1PicturesFUNimationEntertainmentMainichiBroadcastingTBSKodanshaMovicRakuonsha,Ookiku Furikabutte: Natsu no Taikai-hen,BaseballBasedonaMangaComedySchoolClubSeinenSports,13,2010,TV,A-1Pictures
590,925,78,New Prince of Tennis Specials (The Prince of Tennis II Specials),ActionComedyShounenSports,7,2012-2013,Special,ProductionI.GNASM.S.C,Gekkan Shoujo Nozaki-kun Specials,BasedonaMangaComedySchoolLife,6,2014 - 2015,DVD Special,Dogakobo
883,1716,99,New Prince of Tennis (The Prince of Tennis II),ActionComedyShounenSports,13,2012-2012,TV,ProductionI.GTVTokyoBandaiVisualNASM.S.CTVTokyoMusicMarvelousAQL,Legend of the Millennium Dragon,,1,2011,Movie,StudioPierrot
939,1011,101,Gugure! Kokkuri-san Specials,ComedyRomanceShounenSupernatural,6,2014-2015,Special,TMSEntertainment,Mayoi Neko Overrun! Specials,,6,2010,DVD Special,AIC
1142,605,133,Negima!? Natsu Special!? (Magic Teacher Negima! Summer OVA),ComedyEcchiFantasyRomance,1,2006-2006,OVA,ShaftStarchildRecordsFUNimationEntertainmentGANSIS,Kanokon ~Manatsu no Daishanikusai~ Specials,EcchiNudityPantyShots,2,2009,DVD Special,XEBEC
1294,1097,142,Galaxy Angel Specials,ComedySci-Fi,2,2002-2002,Special,MadhouseBroccoli,Amaenaideyo!! Special,BasedonaMangaComedyEcchiNudity,1,2005,DVD Special,StudioDeen
1520,2603,181,Hyakujuu-Ou GoLion (Voltron: Defender of the Universe),AdventureMechaSci-FiShounen,52,1981-1982,TV,ToeiAnimationMediaBlasters,Pokemon: Raikou - The Legend of Thunder,ActionFamilyFriendlyShounen,1,2001,TV Special,OLM
1649,915,196,Hidamari Sketch x 365 Specials,ComedySchoolSliceofLife,3,2009-2009,Special,ShaftLantis,Hyakka Ryouran: Samurai Girls Specials,EcchiNudityPantyShots,6,2010 - 2011,DVD Special,ARMS
1703,1091,196,Yama no Susume Second Season Specials,ComedySeinenSliceofLife,2,2014-2015,Special,8bitEarthStarEntertainment,Hyakka Ryouran: Samurai Girls Specials,EcchiNudityPantyShots,6,2010 - 2011,DVD Special,ARMS
1728,1171,196,Arslan Senki (TV) Specials,Comedy,Unknown,2015 -2015 ,Special,SANZIGENLIDENFILMS,Hyakka Ryouran: Samurai Girls Specials,EcchiNudityPantyShots,6,2010 - 2011,DVD Special,ARMS
1872,2307,204,Dual Parallel! Trouble Adventures,ActionComedyHaremMechaSci-FiShounen,13,1999-1999,TV,GeneonUniversalEntertainmentAIC,Eiga Doraemon: Nobita to Kiseki no Shima - Animal Adventure,,1,2012,Movie,ShineiAnimation
2023,1102,212,Dog Days&#039; Specials,ActionAdventureFantasyMagic,13,2012-2013,Special,SevenArcs,Daphne in the Brilliant Blue Specials,Ecchi,2,2004,DVD Special,J.C.Staff
